time,27-11-2023_17-02-09,27-11-2023_16-50-14
1970-01-01 00:00:00,99.563,99.687
1970-01-01 00:00:01,99.687,99.75
1970-01-01 00:00:02,99.874,99.688
1970-01-01 00:00:03,99.562,99.687
1970-01-01 00:00:04,99.811,99.75
1970-01-01 00:00:05,99.677,99.687
1970-01-01 00:00:06,99.627,99.749
1970-01-01 00:00:07,99.875,99.629
1970-01-01 00:00:08,99.635,99.622
1970-01-01 00:00:09,99.75,99.751
1970-01-01 00:00:10,99.813,99.625
1970-01-01 00:00:11,99.749,99.62
1970-01-01 00:00:12,99.739,99.625
1970-01-01 00:00:13,99.824,99.692
1970-01-01 00:00:14,99.557,99.688
1970-01-01 00:00:15,99.756,99.622
1970-01-01 00:00:16,99.875,99.813
1970-01-01 00:00:17,99.812,99.626
1970-01-01 00:00:18,99.562,99.813
1970-01-01 00:00:19,99.688,99.875
1970-01-01 00:00:20,99.813,99.625
1970-01-01 00:00:21,99.812,99.687
1970-01-01 00:00:22,99.625,99.563
1970-01-01 00:00:23,99.875,99.684
1970-01-01 00:00:24,99.626,99.691
1970-01-01 00:00:25,99.874,99.688
1970-01-01 00:00:26,99.626,99.749
1970-01-01 00:00:27,99.748,99.688
1970-01-01 00:00:28,99.75,99.625
1970-01-01 00:00:29,99.812,99.813
1970-01-01 00:00:30,99.628,99.623
1970-01-01 00:00:31,99.746,99.814
1970-01-01 00:00:32,99.752,99.748
1970-01-01 00:00:33,99.811,99.565
1970-01-01 00:00:34,99.75,99.623
1970-01-01 00:00:35,99.69,99.751
1970-01-01 00:00:36,99.688,99.75
1970-01-01 00:00:37,99.876,99.687
1970-01-01 00:00:38,99.809,99.812
1970-01-01 00:00:39,99.624,99.749
1970-01-01 00:00:40,99.876,99.627
1970-01-01 00:00:41,99.624,99.751
1970-01-01 00:00:42,99.812,99.699
1970-01-01 00:00:43,99.562,99.803
1970-01-01 00:00:44,99.677,99.562
1970-01-01 00:00:45,99.886,99.685
1970-01-01 00:00:46,99.552,99.877
1970-01-01 00:00:47,99.812,99.625
1970-01-01 00:00:48,99.769,99.75
1970-01-01 00:00:49,99.68,99.812
1970-01-01 00:00:50,99.737,99.562
1970-01-01 00:00:51,99.938,99.75
1970-01-01 00:00:52,99.625,99.688
1970-01-01 00:00:53,99.789,99.687
1970-01-01 00:00:54,99.597,99.813
