time,27-11-2023_17-02-09,27-11-2023_16-50-14
1970-01-01 00:00:00,29379644000,29372000000
1970-01-01 00:00:01,29379644000,29372000000
1970-01-01 00:00:02,29379644000,29368220000
1970-01-01 00:00:03,29378888000,29367716000
1970-01-01 00:00:04,29377880000,29367716000
1970-01-01 00:00:05,29377628000,29367212000
1970-01-01 00:00:06,29377628000,29367212000
1970-01-01 00:00:07,29377628000,29366960000
1970-01-01 00:00:08,29377628000,29366960000
1970-01-01 00:00:09,29377124000,29366204000
1970-01-01 00:00:10,29377124000,29365952000
1970-01-01 00:00:11,29377124000,29365700000
1970-01-01 00:00:12,29376872000,29365700000
1970-01-01 00:00:13,29375864000,29365448000
1970-01-01 00:00:14,29375612000,29364944000
1970-01-01 00:00:15,29375112000,29364440000
1970-01-01 00:00:16,29375112000,29364188000
1970-01-01 00:00:17,29375112000,29364188000
1970-01-01 00:00:18,29375112000,29364188000
1970-01-01 00:00:19,29375112000,29363684000
1970-01-01 00:00:20,29375112000,29363432000
1970-01-01 00:00:21,29375112000,29362928000
1970-01-01 00:00:22,29374860000,29362424000
1970-01-01 00:00:23,29374860000,29362172000
1970-01-01 00:00:24,29374608000,29362172000
1970-01-01 00:00:25,29374608000,29362172000
1970-01-01 00:00:26,29374608000,29362172000
1970-01-01 00:00:27,29374608000,29362172000
1970-01-01 00:00:28,29373852000,29361920000
1970-01-01 00:00:29,29373852000,29361668000
1970-01-01 00:00:30,29373600000,29361416000
1970-01-01 00:00:31,29373348000,29361164000
1970-01-01 00:00:32,29373348000,29361164000
1970-01-01 00:00:33,29373348000,29360408000
1970-01-01 00:00:34,29373348000,29360408000
1970-01-01 00:00:35,29373348000,29360156000
1970-01-01 00:00:36,29373348000,29360156000
1970-01-01 00:00:37,29373348000,29360156000
1970-01-01 00:00:38,29372844000,29351084000
1970-01-01 00:00:39,29372844000,29351084000
1970-01-01 00:00:40,29372592000,29351084000
1970-01-01 00:00:41,29372592000,29351084000
1970-01-01 00:00:42,29372340000,29351084000
1970-01-01 00:00:43,29372340000,29350832000
1970-01-01 00:00:44,29372340000,29350580000
1970-01-01 00:00:45,29372340000,29350580000
1970-01-01 00:00:46,29372088000,29350580000
1970-01-01 00:00:47,29371332000,29350580000
1970-01-01 00:00:48,29371332000,29350580000
1970-01-01 00:00:49,29371332000,29350580000
1970-01-01 00:00:50,29370828000,29350328000
1970-01-01 00:00:51,29370828000,29350328000
1970-01-01 00:00:52,29353692000,29350328000
1970-01-01 00:00:53,29353692000,29350328000
1970-01-01 00:00:54,29353692000,29350328000
1970-01-01 00:00:55,29353440000,29350328000
1970-01-01 00:00:56,29353440000,29350328000
1970-01-01 00:00:57,29353440000,29350328000
1970-01-01 00:00:58,29353440000,29350328000
1970-01-01 00:00:59,29353440000,29350328000
1970-01-01 00:01:00,29353188000,29350076000
1970-01-01 00:01:01,29353188000,29349824000
1970-01-01 00:01:02,29353188000,29349824000
1970-01-01 00:01:03,29352936000,29349824000
1970-01-01 00:01:04,29352936000,29349824000
1970-01-01 00:01:05,29352684000,29349320000
1970-01-01 00:01:06,29352432000,29349068000
1970-01-01 00:01:07,29352180000,29349068000
1970-01-01 00:01:08,29352180000,29349068000
1970-01-01 00:01:09,29352180000,29349068000
1970-01-01 00:01:10,29352180000,29348816000
1970-01-01 00:01:11,29352180000,29348816000
1970-01-01 00:01:12,29352180000,29348816000
1970-01-01 00:01:13,29352180000,29348816000
1970-01-01 00:01:14,29352180000,29348816000
1970-01-01 00:01:15,29352180000,29348564000
1970-01-01 00:01:16,29352180000,29348564000
1970-01-01 00:01:17,29352180000,29348564000
1970-01-01 00:01:18,29352180000,29348564000
1970-01-01 00:01:19,29352180000,29348564000
1970-01-01 00:01:20,29352180000,29348564000
1970-01-01 00:01:21,29352180000,29348564000
1970-01-01 00:01:22,29352180000,29348564000
1970-01-01 00:01:23,29352180000,29348564000
1970-01-01 00:01:24,29352180000,29348564000
1970-01-01 00:01:25,29351928000,29348060000
1970-01-01 00:01:26,29351928000,29348060000
1970-01-01 00:01:27,29351928000,29348060000
1970-01-01 00:01:28,29351928000,29348060000
1970-01-01 00:01:29,29351928000,29348060000
1970-01-01 00:01:30,29351928000,29347808000
1970-01-01 00:01:31,29351928000,29347556000
1970-01-01 00:01:32,29351928000,29347556000
1970-01-01 00:01:33,29351928000,29347304000
1970-01-01 00:01:34,29351928000,29347304000
1970-01-01 00:01:35,29351676000,29347304000
1970-01-01 00:01:36,29351676000,29347304000
1970-01-01 00:01:37,29351676000,29347304000
1970-01-01 00:01:38,29351676000,29347304000
1970-01-01 00:01:39,29351676000,29347304000
1970-01-01 00:01:40,29351676000,29346044000
1970-01-01 00:01:41,29351676000,29345792000
1970-01-01 00:01:42,29351676000,29345540000
1970-01-01 00:01:43,29351676000,29345540000
1970-01-01 00:01:44,29351676000,29345540000
1970-01-01 00:01:45,29351676000,29345540000
1970-01-01 00:01:46,29351676000,29345540000
