time,27-11-2023_17-02-09,27-11-2023_16-50-14
1970-01-01 00:00:00,126.0,154.0
1970-01-01 00:00:01,90.0,98.0
1970-01-01 00:00:02,112.0,92.0
1970-01-01 00:00:03,108.0,158.0
1970-01-01 00:00:04,126.0,130.0
1970-01-01 00:00:05,194.0,102.0
1970-01-01 00:00:06,128.0,100.0
1970-01-01 00:00:07,114.0,92.0
1970-01-01 00:00:08,128.0,139.0
1970-01-01 00:00:09,119.0,124.0
1970-01-01 00:00:10,136.0,112.0
1970-01-01 00:00:11,128.0,94.0
1970-01-01 00:00:12,96.0,124.0
1970-01-01 00:00:13,94.0,108.0
1970-01-01 00:00:14,122.0,110.0
1970-01-01 00:00:15,130.0,112.0
1970-01-01 00:00:16,120.0,128.0
1970-01-01 00:00:17,89.0,96.0
1970-01-01 00:00:18,148.0,90.0
1970-01-01 00:00:19,121.0,124.0
1970-01-01 00:00:20,114.0,134.0
1970-01-01 00:00:21,120.0,110.0
1970-01-01 00:00:22,112.0,88.0
1970-01-01 00:00:23,107.0,104.0
1970-01-01 00:00:24,96.0,124.0
1970-01-01 00:00:25,166.0,106.0
1970-01-01 00:00:26,128.0,98.0
1970-01-01 00:00:27,130.0,94.0
1970-01-01 00:00:28,139.0,124.0
1970-01-01 00:00:29,150.0,127.0
1970-01-01 00:00:30,114.0,128.0
1970-01-01 00:00:31,127.0,133.0
1970-01-01 00:00:32,112.0,122.0
1970-01-01 00:00:33,88.0,126.0
1970-01-01 00:00:34,116.0,95.0
1970-01-01 00:00:35,112.0,101.0
1970-01-01 00:00:36,174.0,133.0
1970-01-01 00:00:37,90.0,106.0
1970-01-01 00:00:38,324.0,148.0
1970-01-01 00:00:39,179.0,299.0
1970-01-01 00:00:40,96.0,178.0
1970-01-01 00:00:41,111.0,98.0
1970-01-01 00:00:42,114.0,116.0
1970-01-01 00:00:43,128.0,145.0
1970-01-01 00:00:44,122.0,133.0
1970-01-01 00:00:45,90.0,124.0
1970-01-01 00:00:46,126.0,90.0
1970-01-01 00:00:47,104.0,115.0
1970-01-01 00:00:48,140.0,132.0
1970-01-01 00:00:49,148.0,131.0
1970-01-01 00:00:50,137.0,99.0
1970-01-01 00:00:51,114.0,98.0
1970-01-01 00:00:52,94.0,128.0
1970-01-01 00:00:53,96.0,107.0
1970-01-01 00:00:54,124.0,104.0
1970-01-01 00:00:55,114.0,97.0
1970-01-01 00:00:56,112.0,124.0
1970-01-01 00:00:57,128.0,102.0
1970-01-01 00:00:58,192.0,94.0
1970-01-01 00:00:59,198.0,124.0
1970-01-01 00:01:00,105.0,158.0
1970-01-01 00:01:01,114.0,92.0
1970-01-01 00:01:02,112.0,106.0
1970-01-01 00:01:03,106.0,126.0
1970-01-01 00:01:04,118.0,123.0
1970-01-01 00:01:05,92.0,120.0
1970-01-01 00:01:06,133.0,98.0
1970-01-01 00:01:07,104.0,107.0
1970-01-01 00:01:08,116.0,128.0
1970-01-01 00:01:09,108.0,118.0
1970-01-01 00:01:10,122.0,100.0
1970-01-01 00:01:11,112.0,103.0
1970-01-01 00:01:12,105.0,132.0
1970-01-01 00:01:13,88.0,108.0
1970-01-01 00:01:14,122.0,108.0
1970-01-01 00:01:15,120.0,110.0
1970-01-01 00:01:16,106.0,124.0
1970-01-01 00:01:17,86.0,107.0
1970-01-01 00:01:18,154.0,94.0
1970-01-01 00:01:19,148.0,134.0
1970-01-01 00:01:20,107.0,139.0
1970-01-01 00:01:21,92.0,106.0
1970-01-01 00:01:22,118.0,89.0
1970-01-01 00:01:23,112.0,120.0
1970-01-01 00:01:24,102.0,118.0
1970-01-01 00:01:25,102.0,108.0
1970-01-01 00:01:26,126.0,102.0
1970-01-01 00:01:27,127.0,95.0
1970-01-01 00:01:28,139.0,211.0
1970-01-01 00:01:29,155.0,198.0
1970-01-01 00:01:30,116.0,210.0
1970-01-01 00:01:31,124.0,109.0
1970-01-01 00:01:32,116.0,126.0
1970-01-01 00:01:33,94.0,121.0
1970-01-01 00:01:34,128.0,98.0
1970-01-01 00:01:35,104.0,125.0
1970-01-01 00:01:36,100.0,136.0
1970-01-01 00:01:37,104.0,96.0
1970-01-01 00:01:38,159.0,256.0
1970-01-01 00:01:39,135.0,258.0
1970-01-01 00:01:40,106.0,200.0
1970-01-01 00:01:41,100.0,110.0
1970-01-01 00:01:42,156.0,110.0
1970-01-01 00:01:43,129.0,208.0
1970-01-01 00:01:44,94.0,140.0
1970-01-01 00:01:45,92.0,119.0
1970-01-01 00:01:46,112.0,116.0
1970-01-01 00:01:47,124.0,108.0
1970-01-01 00:01:48,130.0,136.0
1970-01-01 00:01:49,189.0,125.0
1970-01-01 00:01:50,114.0,102.0
1970-01-01 00:01:51,117.0,104.0
1970-01-01 00:01:52,108.0,130.0
