time,no-latency,10ms-latency-100ms,10ms-latency-200ms,10ms-latency-300ms,10ms-latency-400ms,10ms-latency-500ms
1970-01-01 00:00:00,12325.0,2377.0,2265.0,7736.0,2163.0,2290.0
1970-01-01 00:00:01,12237.0,2319.0,2254.0,7608.0,2257.0,2267.0
1970-01-01 00:00:02,12818.0,2147.0,2086.0,7640.0,2111.0,2034.0
1970-01-01 00:00:03,13206.0,2018.0,2096.0,7716.0,2097.0,2181.0
1970-01-01 00:00:04,12796.0,2256.0,2106.0,7873.0,2162.0,2068.0
1970-01-01 00:00:05,12882.0,2240.0,2210.0,7804.0,2156.0,2144.0
1970-01-01 00:00:06,12442.0,2252.0,2154.0,7631.0,2235.0,2165.0
1970-01-01 00:00:07,12239.0,2140.0,2067.0,7682.0,2095.0,2138.0
1970-01-01 00:00:08,12733.0,2152.0,2114.0,7578.0,2099.0,1988.0
1970-01-01 00:00:09,13964.0,2228.0,2125.0,7687.0,2197.0,2243.0
1970-01-01 00:00:10,12804.0,2110.0,2216.0,7857.0,2187.0,2442.0
1970-01-01 00:00:11,12233.0,2190.0,2140.0,7691.0,2260.0,2222.0
1970-01-01 00:00:12,12922.0,2160.0,2220.0,7637.0,1994.0,2163.0
1970-01-01 00:00:13,12916.0,2190.0,2089.0,7590.0,2022.0,2114.0
1970-01-01 00:00:14,12817.0,2266.0,2162.0,7770.0,2058.0,2233.0
1970-01-01 00:00:15,12832.0,2264.0,2221.0,7767.0,2092.0,2095.0
1970-01-01 00:00:16,12220.0,2215.0,2175.0,6542.0,2160.0,2091.0
1970-01-01 00:00:17,12650.0,2153.0,2061.0,4903.0,2227.0,1996.0
1970-01-01 00:00:18,12918.0,2171.0,2001.0,7381.0,2148.0,2068.0
1970-01-01 00:00:19,12639.0,2077.0,2071.0,7635.0,2153.0,2158.0
1970-01-01 00:00:20,12777.0,2350.0,2231.0,7923.0,2178.0,2134.0
1970-01-01 00:00:21,12938.0,2284.0,2347.0,7633.0,2436.0,2379.0
1970-01-01 00:00:22,13002.0,2183.0,2176.0,8635.0,2122.0,2181.0
1970-01-01 00:00:23,13001.0,2118.0,2042.0,7708.0,2115.0,2116.0
1970-01-01 00:00:24,12857.0,2258.0,1998.0,7582.0,2185.0,2130.0
1970-01-01 00:00:25,12832.0,2227.0,2274.0,7791.0,2102.0,2074.0
1970-01-01 00:00:26,11913.0,2268.0,2087.0,7635.0,2161.0,2293.0
1970-01-01 00:00:27,12785.0,1930.0,2020.0,7590.0,1972.0,1945.0
1970-01-01 00:00:28,12234.0,1991.0,1969.0,7519.0,1988.0,1978.0
1970-01-01 00:00:29,12061.0,2051.0,1972.0,7647.0,2048.0,1966.0
1970-01-01 00:00:30,12289.0,2344.0,2372.0,7757.0,2318.0,2340.0
1970-01-01 00:00:31,12244.0,2209.0,2182.0,7686.0,2256.0,2292.0
1970-01-01 00:00:32,12285.0,2164.0,2113.0,7630.0,2149.0,2027.0
1970-01-01 00:00:33,12322.0,2188.0,2119.0,7565.0,2187.0,2145.0
1970-01-01 00:00:34,12875.0,2202.0,2154.0,7795.0,2199.0,2254.0
1970-01-01 00:00:35,12261.0,2093.0,2154.0,7756.0,2147.0,2168.0
1970-01-01 00:00:36,12229.0,2280.0,2224.0,7763.0,2238.0,2222.0
1970-01-01 00:00:37,12900.0,2199.0,2098.0,7718.0,2164.0,2172.0
1970-01-01 00:00:38,12822.0,2162.0,2170.0,7675.0,2146.0,2095.0
