time,no-latency,10ms-latency-100ms,10ms-latency-200ms,10ms-latency-300ms,10ms-latency-400ms,10ms-latency-500ms
1970-01-01 00:00:00,0.22,0.0,0.07,0.12,0.05,0.3
1970-01-01 00:00:01,0.22,0.0,0.07,0.11,0.05,0.3
1970-01-01 00:00:02,0.22,0.0,0.07,0.11,0.05,0.3
1970-01-01 00:00:03,0.22,0.0,0.07,0.11,0.05,0.3
1970-01-01 00:00:04,0.21,0.0,0.06,0.11,0.05,0.3
1970-01-01 00:00:05,0.21,0.0,0.06,0.11,0.05,0.28
1970-01-01 00:00:06,0.21,0.0,0.06,0.1,0.05,0.28
1970-01-01 00:00:07,0.21,0.0,0.06,0.1,0.05,0.28
1970-01-01 00:00:08,0.21,0.0,0.06,0.1,0.05,0.28
1970-01-01 00:00:09,0.19,0.0,0.06,0.1,0.05,0.28
1970-01-01 00:00:10,0.19,0.0,0.06,0.1,0.05,0.26
1970-01-01 00:00:11,0.19,0.0,0.06,0.09,0.05,0.26
1970-01-01 00:00:12,0.19,0.0,0.06,0.09,0.04,0.26
1970-01-01 00:00:13,0.19,0.0,0.06,0.09,0.04,0.26
1970-01-01 00:00:14,0.17,0.0,0.05,0.09,0.04,0.26
1970-01-01 00:00:15,0.17,0.0,0.05,0.09,0.04,0.24
1970-01-01 00:00:16,0.17,0.0,0.05,0.09,0.04,0.24
1970-01-01 00:00:17,0.17,0.0,0.05,0.09,0.04,0.24
1970-01-01 00:00:18,0.17,0.0,0.05,0.09,0.04,0.24
1970-01-01 00:00:19,0.16,0.0,0.05,0.09,0.04,0.24
1970-01-01 00:00:20,0.16,0.0,0.05,0.09,0.04,0.22
1970-01-01 00:00:21,0.16,0.0,0.05,0.08,0.04,0.22
1970-01-01 00:00:22,0.16,0.0,0.05,0.08,0.04,0.22
1970-01-01 00:00:23,0.16,0.0,0.05,0.08,0.04,0.22
1970-01-01 00:00:24,0.15,0.0,0.04,0.08,0.04,0.22
1970-01-01 00:00:25,0.15,0.0,0.04,0.08,0.04,0.2
1970-01-01 00:00:26,0.15,0.0,0.04,0.07,0.04,0.2
1970-01-01 00:00:27,0.15,0.0,0.04,0.07,0.03,0.2
1970-01-01 00:00:28,0.15,0.0,0.04,0.07,0.03,0.2
1970-01-01 00:00:29,0.21,0.0,0.04,0.07,0.03,0.2
1970-01-01 00:00:30,0.21,0.0,0.04,0.07,0.03,0.26
1970-01-01 00:00:31,0.21,0.0,0.04,0.07,0.03,0.26
1970-01-01 00:00:32,0.21,0.0,0.04,0.07,0.03,0.26
1970-01-01 00:00:33,0.21,0.0,0.04,0.07,0.03,0.26
1970-01-01 00:00:34,0.2,0.0,0.04,0.07,0.03,0.26
1970-01-01 00:00:35,0.2,0.0,0.04,0.07,0.03,0.24
1970-01-01 00:00:36,0.2,0.0,0.04,0.06,0.03,0.24
1970-01-01 00:00:37,0.2,0.0,0.04,0.06,0.11,0.24
1970-01-01 00:00:38,0.2,0.0,0.04,0.06,0.11,0.24
1970-01-01 00:00:39,0.18,0.0,0.03,0.06,0.11,0.24
1970-01-01 00:00:40,0.18,0.0,0.03,0.06,0.11,0.22
1970-01-01 00:00:41,0.18,0.0,0.03,0.06,0.11,0.22
1970-01-01 00:00:42,0.18,0.0,0.03,0.06,0.1,0.22
1970-01-01 00:00:43,0.18,0.0,0.03,0.06,0.1,0.22
1970-01-01 00:00:44,0.25,0.0,0.03,0.06,0.1,0.22
1970-01-01 00:00:45,0.25,0.0,0.03,0.06,0.1,0.2
1970-01-01 00:00:46,0.25,0.0,0.03,0.05,0.1,0.2
1970-01-01 00:00:47,0.25,0.0,0.03,0.05,0.09,0.2
1970-01-01 00:00:48,0.25,0.0,0.03,0.05,0.09,0.2
1970-01-01 00:00:49,0.23,0.0,0.03,0.05,0.09,0.2
1970-01-01 00:00:50,0.23,0.0,0.03,0.05,0.09,0.19
1970-01-01 00:00:51,0.23,0.0,0.03,0.05,0.09,0.19
1970-01-01 00:00:52,0.23,0.0,0.03,0.05,0.08,0.19
1970-01-01 00:00:53,0.23,0.0,0.03,0.05,0.08,0.19
1970-01-01 00:00:54,0.21,0.0,0.03,0.05,0.08,0.19
1970-01-01 00:00:55,0.21,0.0,0.03,0.05,0.08,0.17
1970-01-01 00:00:56,0.21,0.0,0.03,0.04,0.08,0.17
1970-01-01 00:00:57,0.21,0.0,0.03,0.04,0.08,0.17
1970-01-01 00:00:58,0.21,0.0,0.03,0.04,0.08,0.17
1970-01-01 00:00:59,0.19,0.0,0.02,0.04,0.08,0.17
1970-01-01 00:01:00,0.19,0.0,0.02,0.04,0.08,0.16
1970-01-01 00:01:01,0.19,0.0,0.02,0.04,0.08,0.16
1970-01-01 00:01:02,0.19,0.0,0.02,0.04,0.07,0.16
1970-01-01 00:01:03,0.19,0.0,0.02,0.04,0.07,0.16
1970-01-01 00:01:04,0.18,0.0,0.02,0.04,0.07,0.16
1970-01-01 00:01:05,0.18,0.0,0.02,0.04,0.07,0.15
1970-01-01 00:01:06,0.18,0.0,0.02,0.04,0.07,0.15
1970-01-01 00:01:07,0.18,0.0,0.02,0.04,0.06,0.15
1970-01-01 00:01:08,0.18,0.0,0.02,0.04,0.06,0.15
1970-01-01 00:01:09,0.16,0.0,0.02,0.04,0.06,0.15
1970-01-01 00:01:10,0.16,0.0,0.02,0.04,0.06,0.13
1970-01-01 00:01:11,0.16,0.0,0.02,0.03,0.06,0.13
1970-01-01 00:01:12,0.16,0.0,0.02,0.03,0.06,0.13
1970-01-01 00:01:13,0.16,0.0,0.02,0.03,0.06,0.13
1970-01-01 00:01:14,0.15,0.0,0.02,0.03,0.06,0.13
1970-01-01 00:01:15,0.15,0.0,0.02,0.03,0.06,0.12
1970-01-01 00:01:16,0.15,0.0,0.02,0.03,0.06,0.12
1970-01-01 00:01:17,0.15,0.0,0.02,0.03,0.05,0.12
1970-01-01 00:01:18,0.15,0.0,0.02,0.03,0.05,0.12
1970-01-01 00:01:19,0.22,0.0,0.02,0.03,0.05,0.12
1970-01-01 00:01:20,0.22,0.0,0.02,0.03,0.05,0.11
1970-01-01 00:01:21,0.22,0.0,0.02,0.03,0.05,0.11
