time,no-latency,10ms-latency-100ms,10ms-latency-200ms,10ms-latency-300ms,10ms-latency-400ms,10ms-latency-500ms
1970-01-01 00:00:00,1.0,0.062,0.063,0.125,0.0,0.187
1970-01-01 00:00:01,1.187,0.062,0.125,0.0,0.125,0.125
1970-01-01 00:00:02,0.938,0.062,0.0,0.063,0.0,0.063
1970-01-01 00:00:03,0.625,0.0,0.0,0.188,0.0,0.062
1970-01-01 00:00:04,1.125,0.062,0.0,0.0,0.0,0.25
1970-01-01 00:00:05,1.062,0.125,0.062,0.125,0.0,0.188
1970-01-01 00:00:06,0.75,0.0,0.063,0.0,0.0,0.125
1970-01-01 00:00:07,0.937,0.0,0.0,0.0,0.0,0.125
1970-01-01 00:00:08,1.313,0.062,0.062,0.063,0.062,0.25
1970-01-01 00:00:09,1.0,0.062,0.062,0.0,0.188,0.125
1970-01-01 00:00:10,0.875,0.063,0.125,0.0,0.063,0.063
1970-01-01 00:00:11,1.125,0.0,0.0,0.0,0.0,0.187
1970-01-01 00:00:12,0.812,0.062,0.062,0.062,0.0,0.25
1970-01-01 00:00:13,1.188,0.063,0.0,0.0,0.063,0.188
1970-01-01 00:00:14,0.937,0.0,0.0,0.125,0.0,0.062
1970-01-01 00:00:15,1.125,0.188,0.063,0.062,0.0,0.188
1970-01-01 00:00:16,0.938,0.0,0.062,0.062,0.0,0.375
1970-01-01 00:00:17,1.187,0.0,0.187,0.063,0.0,0.25
1970-01-01 00:00:18,1.125,0.062,0.0,0.0,0.0,0.062
1970-01-01 00:00:19,1.187,0.0,0.0,0.063,0.0,0.0
1970-01-01 00:00:20,0.937,0.063,0.0,0.0,0.187,0.188
1970-01-01 00:00:21,0.938,0.0,0.063,0.0,0.0,0.25
1970-01-01 00:00:22,0.75,0.0,0.062,0.0,0.0,0.125
1970-01-01 00:00:23,1.437,0.063,0.0,0.063,0.062,0.188
1970-01-01 00:00:24,1.25,0.0,0.0,0.062,0.188,0.063
1970-01-01 00:00:25,1.188,0.0,0.0,0.062,0.0,0.375
1970-01-01 00:00:26,0.813,0.062,0.125,0.063,0.0,0.062
1970-01-01 00:00:27,1.375,0.063,0.0,0.063,0.063,0.063
1970-01-01 00:00:28,1.187,0.062,0.0,0.0,0.125,0.062
1970-01-01 00:00:29,1.125,0.0,0.125,0.063,0.125,0.188
1970-01-01 00:00:30,0.875,0.125,0.0,0.0,0.063,0.188
1970-01-01 00:00:31,1.188,0.125,0.125,0.062,0.062,0.125
1970-01-01 00:00:32,0.875,0.0,0.0,0.0,0.063,0.062
1970-01-01 00:00:33,1.187,0.0,0.0,0.0,0.0,0.125
1970-01-01 00:00:34,0.937,0.062,0.062,0.188,0.062,0.125
1970-01-01 00:00:35,1.313,0.063,0.063,0.125,0.063,0.125
1970-01-01 00:00:36,1.0,0.0,0.063,0.0,0.125,0.25
1970-01-01 00:00:37,1.188,0.0,0.0,0.062,0.063,0.188
1970-01-01 00:00:38,0.75,0.125,0.0,0.0,0.062,0.062
1970-01-01 00:00:39,0.937,0.062,0.062,0.125,0.063,0.187
1970-01-01 00:00:40,0.875,0.063,0.062,0.125,0.063,0.125
1970-01-01 00:00:41,1.438,0.0,0.125,0.063,0.063,0.062
1970-01-01 00:00:42,0.938,0.0,0.0,0.0,0.063,0.125
1970-01-01 00:00:43,1.25,0.063,0.125,0.0,0.0,0.25
1970-01-01 00:00:44,1.25,0.0,0.0,0.0,0.0,0.063
1970-01-01 00:00:45,1.313,0.062,0.0,0.062,0.0,0.063
1970-01-01 00:00:46,0.875,0.063,0.0,0.0,0.062,0.0
1970-01-01 00:00:47,1.0,0.0,0.063,0.0,0.0,0.0
1970-01-01 00:00:48,1.125,0.063,0.0,0.062,0.062,0.125
1970-01-01 00:00:49,0.687,0.062,0.0,0.0,0.0,0.187
1970-01-01 00:00:50,0.875,0.125,0.063,0.187,0.125,0.25
1970-01-01 00:00:51,0.625,0.0,0.062,0.0,0.0,0.062
1970-01-01 00:00:52,1.437,0.0,0.0,0.0,0.0,0.125
1970-01-01 00:00:53,0.937,0.125,0.0,0.063,0.063,0.062
1970-01-01 00:00:54,0.625,0.063,0.062,0.0,0.062,0.188
1970-01-01 00:00:55,1.375,0.063,0.125,0.0,0.063,0.125
1970-01-01 00:00:56,0.875,0.062,0.125,0.062,0.125,0.187
1970-01-01 00:00:57,1.312,0.062,0.0,0.0,0.063,0.125
1970-01-01 00:00:58,1.063,0.0,0.0,0.0,0.0,0.063
1970-01-01 00:00:59,0.688,0.0,0.125,0.0,0.062,0.0
1970-01-01 00:01:00,1.125,0.0,0.063,0.125,0.0,0.188
1970-01-01 00:01:01,1.062,0.062,0.125,0.0,0.0,0.0
1970-01-01 00:01:02,1.0,0.0,0.062,0.0,0.0,0.125
1970-01-01 00:01:03,1.437,0.125,0.0,0.125,0.0,0.125
1970-01-01 00:01:04,1.25,0.063,0.0,0.062,0.0,0.062
1970-01-01 00:01:05,0.625,0.063,0.0,0.0,0.0,0.25
1970-01-01 00:01:06,0.938,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:07,0.875,0.062,0.063,0.125,0.063,0.187
1970-01-01 00:01:08,1.187,0.0,0.062,0.125,0.125,0.125
1970-01-01 00:01:09,1.313,0.0,0.0,0.188,0.0,0.187
1970-01-01 00:01:10,1.062,0.063,0.125,0.0,0.0,0.375
1970-01-01 00:01:11,0.938,0.0,0.125,0.063,0.062,0.188
1970-01-01 00:01:12,0.938,0.062,0.063,0.0,0.062,0.125
1970-01-01 00:01:13,1.0,0.063,0.125,0.0,0.062,0.063
1970-01-01 00:01:14,0.938,0.0,0.062,0.062,0.0,0.063
1970-01-01 00:01:15,1.0,0.0,0.0,0.125,0.188,0.125
1970-01-01 00:01:16,1.25,0.063,0.0,0.125,0.0,0.187
1970-01-01 00:01:17,0.875,0.125,0.0,0.0,0.062,0.187
