time,no-latency,10ms-latency-100ms,10ms-latency-200ms,10ms-latency-300ms,10ms-latency-400ms,10ms-latency-500ms
1970-01-01 00:00:00,1.375,0.562,0.125,0.313,0.25,0.25
1970-01-01 00:00:01,1.312,0.562,0.5,0.25,0.5,0.188
1970-01-01 00:00:02,1.625,0.125,0.125,0.0,0.063,0.313
1970-01-01 00:00:03,1.875,0.0,0.0,0.5,0.063,0.062
1970-01-01 00:00:04,1.25,0.062,0.125,0.062,0.0,0.25
1970-01-01 00:00:05,1.187,0.188,0.062,0.063,0.188,0.0
1970-01-01 00:00:06,2.0,0.312,0.313,0.312,0.062,0.437
1970-01-01 00:00:07,1.062,0.0,0.125,0.25,0.063,0.25
1970-01-01 00:00:08,1.563,0.062,0.062,0.0,0.125,0.062
1970-01-01 00:00:09,1.687,0.125,0.187,0.0,0.188,0.125
1970-01-01 00:00:10,1.125,0.188,0.063,0.125,0.063,0.375
1970-01-01 00:00:11,1.187,0.312,0.375,0.062,0.187,0.375
1970-01-01 00:00:12,1.437,0.0,0.0,0.0,0.187,0.125
1970-01-01 00:00:13,1.5,0.063,0.0,0.062,0.0,0.125
1970-01-01 00:00:14,1.187,0.062,0.062,0.063,0.062,0.187
1970-01-01 00:00:15,1.125,0.125,0.125,0.0,0.125,0.125
1970-01-01 00:00:16,1.438,0.25,0.062,0.562,0.312,0.625
1970-01-01 00:00:17,1.187,0.0,0.0,0.0,0.063,0.313
1970-01-01 00:00:18,1.875,0.125,0.0,0.062,0.062,0.062
1970-01-01 00:00:19,1.5,0.063,0.063,0.125,0.0,0.062
1970-01-01 00:00:20,1.125,0.125,0.062,0.063,0.062,0.188
1970-01-01 00:00:21,1.188,0.0,0.0,0.0,0.125,0.375
1970-01-01 00:00:22,1.25,0.0,0.125,0.062,0.187,0.062
1970-01-01 00:00:23,1.625,0.125,0.063,0.188,0.0,0.063
1970-01-01 00:00:24,1.5,0.062,0.062,0.062,0.0,0.313
1970-01-01 00:00:25,1.125,0.125,0.063,0.125,0.25,0.188
1970-01-01 00:00:26,0.938,0.062,0.812,0.688,0.063,0.437
1970-01-01 00:00:27,1.562,0.063,0.0,0.0,0.063,0.063
1970-01-01 00:00:28,1.562,0.0,0.0,0.062,0.0,0.25
1970-01-01 00:00:29,1.438,0.0,0.188,0.0,0.062,0.188
1970-01-01 00:00:30,1.375,0.125,0.062,0.187,0.125,0.563
1970-01-01 00:00:31,1.563,0.125,0.187,0.062,0.25,0.125
1970-01-01 00:00:32,1.25,0.063,0.125,0.25,0.0,0.25
1970-01-01 00:00:33,1.5,0.063,0.0,0.0,0.063,0.0
1970-01-01 00:00:34,1.312,0.125,0.125,0.188,0.0,0.063
1970-01-01 00:00:35,1.688,0.125,0.063,0.25,0.188,0.25
1970-01-01 00:00:36,1.75,0.125,0.125,0.312,0.0,0.438
1970-01-01 00:00:37,1.313,0.0,0.062,0.0,0.0,0.313
1970-01-01 00:00:38,1.312,0.062,0.063,0.0,0.0,0.062
1970-01-01 00:00:39,1.687,0.25,0.0,0.0,0.0,0.625
1970-01-01 00:00:40,1.25,0.063,0.0,0.125,0.063,0.25
1970-01-01 00:00:41,1.438,0.5,0.5,0.563,0.625,0.312
1970-01-01 00:00:42,1.063,0.062,0.125,0.063,0.125,0.187
1970-01-01 00:00:43,1.625,0.063,0.0,0.0,0.062,0.125
1970-01-01 00:00:44,1.188,0.063,0.125,0.062,0.188,0.188
1970-01-01 00:00:45,1.438,0.125,0.0,0.0,0.0,0.063
1970-01-01 00:00:46,1.312,0.25,0.187,0.313,0.0,0.187
1970-01-01 00:00:47,1.25,0.0,0.563,0.0,0.0,0.062
1970-01-01 00:00:48,1.5,0.063,0.0,0.437,0.25,0.063
1970-01-01 00:00:49,1.375,0.0,0.063,0.0,0.062,0.125
1970-01-01 00:00:50,1.25,0.188,0.125,0.062,0.063,0.313
1970-01-01 00:00:51,1.25,0.125,0.062,0.063,0.125,0.187
1970-01-01 00:00:52,2.062,0.062,0.063,0.0,0.313,0.25
1970-01-01 00:00:53,1.312,0.375,0.063,0.0,0.313,0.25
1970-01-01 00:00:54,0.938,0.125,0.312,0.375,0.062,0.438
1970-01-01 00:00:55,1.187,0.188,0.125,0.312,0.125,0.25
1970-01-01 00:00:56,1.313,0.25,0.125,0.187,0.125,0.125
1970-01-01 00:00:57,1.437,0.562,0.25,0.688,0.75,0.375
1970-01-01 00:00:58,1.688,0.0,0.437,0.062,0.125,0.5
1970-01-01 00:00:59,1.188,0.063,0.0,0.063,0.0,0.187
1970-01-01 00:01:00,1.25,0.125,0.188,0.0,0.125,0.25
1970-01-01 00:01:01,1.5,0.062,0.25,0.188,0.187,0.125
1970-01-01 00:01:02,1.063,0.063,0.062,0.0,0.0,0.438
1970-01-01 00:01:03,1.625,0.187,0.125,0.063,0.0,0.187
1970-01-01 00:01:04,1.063,0.0,0.0,0.0,0.0,0.062
1970-01-01 00:01:05,1.125,0.125,0.062,0.187,0.125,0.188
1970-01-01 00:01:06,1.438,0.0,0.0,0.125,0.125,0.188
1970-01-01 00:01:07,1.375,0.062,0.063,0.312,0.125,0.187
1970-01-01 00:01:08,1.437,0.062,0.187,0.063,0.063,0.313
1970-01-01 00:01:09,1.313,0.125,0.062,0.063,0.062,0.0
1970-01-01 00:01:10,1.25,0.125,0.063,0.0,0.188,0.187
1970-01-01 00:01:11,1.938,0.25,0.187,0.125,0.187,0.188
1970-01-01 00:01:12,1.562,0.187,0.063,0.125,0.0,0.25
1970-01-01 00:01:13,1.062,0.313,0.0,0.187,0.062,0.188
1970-01-01 00:01:14,0.875,0.0,0.0,0.0,0.188,0.438
1970-01-01 00:01:15,1.375,0.063,0.438,0.188,0.0,0.062
1970-01-01 00:01:16,1.563,0.125,0.062,0.188,0.125,0.187
1970-01-01 00:01:17,1.563,0.062,0.063,0.062,0.0,0.125
1970-01-01 00:01:18,1.437,0.062,0.0,0.0,0.062,0.125
1970-01-01 00:01:19,1.5,0.063,0.063,0.0,0.063,0.125
1970-01-01 00:01:20,1.625,0.125,0.125,0.062,0.063,0.25
1970-01-01 00:01:21,1.188,0.125,0.188,0.125,0.187,0.375
1970-01-01 00:01:22,1.125,0.0,0.0,0.062,0.063,0.125
1970-01-01 00:01:23,1.125,0.063,0.0,0.063,0.187,0.063
1970-01-01 00:01:24,1.687,0.0,0.188,0.062,0.125,0.125
1970-01-01 00:01:25,1.437,0.125,0.0,0.0,0.063,0.312
1970-01-01 00:01:26,1.125,0.062,0.125,0.125,0.0,0.75
1970-01-01 00:01:27,1.75,0.0,0.063,0.0,0.0,0.063
1970-01-01 00:01:28,1.188,0.125,0.062,0.125,0.063,0.062
1970-01-01 00:01:29,1.438,0.062,0.063,0.062,0.0,0.125
1970-01-01 00:01:30,1.313,0.188,0.125,0.062,0.125,0.062
1970-01-01 00:01:31,0.937,0.812,0.875,0.875,0.687,0.5
1970-01-01 00:01:32,1.563,0.0,0.0,0.062,0.062,0.062
1970-01-01 00:01:33,2.062,0.0,0.0,0.062,0.0,0.188
1970-01-01 00:01:34,1.125,0.0,0.0,0.188,0.063,0.125
1970-01-01 00:01:35,1.25,0.0,0.0,0.0,0.063,0.063
1970-01-01 00:01:36,1.312,0.187,0.063,0.062,0.187,0.188
1970-01-01 00:01:37,1.375,0.0,0.0,0.062,0.063,0.375
1970-01-01 00:01:38,1.312,0.062,0.0,0.063,0.0,0.188
1970-01-01 00:01:39,1.437,0.062,0.0,0.0,0.063,0.125
1970-01-01 00:01:40,1.188,0.062,0.125,0.0,0.063,0.062
1970-01-01 00:01:41,1.437,0.063,0.125,0.063,0.0,0.25
1970-01-01 00:01:42,0.938,0.0,0.0,0.0,0.0,0.063
1970-01-01 00:01:43,1.687,0.063,0.063,0.0,0.062,0.188
1970-01-01 00:01:44,1.688,0.0,0.0,0.125,0.063,0.75
1970-01-01 00:01:45,1.5,0.125,0.063,0.063,0.0,0.188
1970-01-01 00:01:46,1.25,0.125,0.187,0.063,0.437,0.312
1970-01-01 00:01:47,1.625,0.0,0.062,0.187,0.0,0.062
1970-01-01 00:01:48,1.938,0.063,0.188,0.063,0.188,0.125
1970-01-01 00:01:49,1.562,0.125,0.0,0.062,0.0,0.187
1970-01-01 00:01:50,1.812,0.063,0.062,0.062,0.125,0.062
1970-01-01 00:01:51,0.937,0.062,0.125,0.063,0.0,0.25
1970-01-01 00:01:52,1.938,0.0,0.063,0.062,0.063,0.125
1970-01-01 00:01:53,1.062,0.0,0.0,0.25,0.063,0.063
1970-01-01 00:01:54,1.187,0.25,0.0,0.063,0.0,0.125
1970-01-01 00:01:55,1.625,0.0,0.063,0.0,0.125,0.125
1970-01-01 00:01:56,1.5,0.062,0.125,0.0,0.062,0.25
1970-01-01 00:01:57,2.0,0.0,0.0,0.0,0.062,0.125
1970-01-01 00:01:58,1.25,0.125,0.187,0.062,0.063,0.0
1970-01-01 00:01:59,1.25,0.062,0.063,0.187,0.125,0.187
1970-01-01 00:02:00,1.125,0.062,0.062,0.0,0.062,0.125
1970-01-01 00:02:01,1.062,0.125,0.063,0.125,0.312,0.375
1970-01-01 00:02:02,1.375,0.0,0.0,0.063,0.062,0.063
1970-01-01 00:02:03,1.625,0.0,0.063,0.0,0.0,0.25
1970-01-01 00:02:04,1.375,0.187,0.0,0.062,0.062,0.125
1970-01-01 00:02:05,1.0,0.0,0.187,0.125,0.0,0.125
1970-01-01 00:02:06,1.25,0.125,0.188,0.25,0.188,0.188
1970-01-01 00:02:07,1.562,0.062,0.062,0.0,0.063,0.125
1970-01-01 00:02:08,1.125,0.063,0.063,0.0,0.0,0.062
1970-01-01 00:02:09,1.063,0.062,0.063,0.063,0.0,0.188
1970-01-01 00:02:10,1.5,0.0,0.062,0.125,0.0,0.125
1970-01-01 00:02:11,1.0,0.125,0.375,0.0,0.312,0.313
1970-01-01 00:02:12,1.563,0.0,0.0,0.0,0.063,0.25
1970-01-01 00:02:13,1.187,0.0,0.062,0.0,0.062,0.0
1970-01-01 00:02:14,1.312,0.063,0.062,0.125,0.125,0.25
1970-01-01 00:02:15,1.0,0.187,0.063,0.062,0.187,0.063
1970-01-01 00:02:16,1.313,0.063,0.187,0.25,0.313,0.25
1970-01-01 00:02:17,1.187,0.25,0.125,0.187,0.063,0.062
1970-01-01 00:02:18,1.375,0.063,0.0,0.125,0.0,0.187
1970-01-01 00:02:19,1.25,0.063,0.062,0.062,0.062,0.438
1970-01-01 00:02:20,0.937,0.25,0.063,0.0,0.25,0.062
1970-01-01 00:02:21,1.375,0.25,0.313,0.125,0.125,0.437
1970-01-01 00:02:22,1.063,0.0,0.0,0.063,0.125,0.063
1970-01-01 00:02:23,1.25,0.0,0.062,0.062,0.062,0.313
1970-01-01 00:02:24,0.938,0.063,0.063,0.063,0.125,0.188
1970-01-01 00:02:25,1.625,0.063,0.0,0.0,0.062,0.062
1970-01-01 00:02:26,1.376,0.25,0.062,0.125,0.062,0.375
1970-01-01 00:02:27,1.374,0.125,0.063,0.0,0.0,0.125
1970-01-01 00:02:28,1.5,0.0,0.063,0.063,0.063,0.188
1970-01-01 00:02:29,1.0,0.0,0.0,0.062,0.062,0.188
1970-01-01 00:02:30,1.313,0.125,0.0,0.125,0.187,0.188
1970-01-01 00:02:31,1.313,0.063,0.25,0.125,0.062,0.125
1970-01-01 00:02:32,1.438,0.062,0.063,0.062,0.0,0.125
1970-01-01 00:02:33,1.562,0.0,0.0,0.0,0.0,0.187
1970-01-01 00:02:34,1.188,0.125,0.063,0.125,0.125,0.375
1970-01-01 00:02:35,1.125,0.0,0.063,0.0,0.062,0.188
