time,no-latency,10ms-latency-100ms,10ms-latency-200ms,10ms-latency-300ms,10ms-latency-400ms,10ms-latency-500ms
1970-01-01 00:00:00,0.0,71.999,32.0,20.0,0.0,0.0
1970-01-01 00:00:01,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:02,56.0,0.0,0.0,0.0,16.0,16.0
1970-01-01 00:00:03,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:04,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:05,48.001,80.001,0.0,20.0,31.999,35.999
1970-01-01 00:00:06,0.0,0.0,20.0,0.0,0.0,0.0
1970-01-01 00:00:07,44.001,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:08,0.0,0.0,0.0,0.0,16.0,24.0
1970-01-01 00:00:09,0.0,0.0,0.0,0.0,32.0,0.0
1970-01-01 00:00:10,0.0,76.0,0.0,0.0,80.001,20.0
1970-01-01 00:00:11,31.999,0.0,16.0,20.0,0.0,0.0
1970-01-01 00:00:12,36.0,0.0,32.0,0.0,0.0,0.0
1970-01-01 00:00:13,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:14,0.0,0.0,0.0,0.0,0.0,31.999
1970-01-01 00:00:15,0.0,36.0,0.0,36.0,44.0,0.0
1970-01-01 00:00:16,20.0,27.999,8.0,0.0,0.0,8.0
1970-01-01 00:00:17,40.0,0.0,0.0,28.0,0.0,0.0
1970-01-01 00:00:18,0.0,0.0,24.001,0.0,0.0,0.0
1970-01-01 00:00:19,0.0,0.0,0.0,40.0,0.0,0.0
1970-01-01 00:00:20,0.0,0.0,0.0,32.0,0.0,27.999
1970-01-01 00:00:21,0.0,63.999,0.0,0.0,16.0,0.0
1970-01-01 00:00:22,20.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:23,0.0,0.0,0.0,52.0,0.0,0.0
1970-01-01 00:00:24,0.0,0.0,20.0,0.0,0.0,0.0
1970-01-01 00:00:25,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:26,0.0,115.997,36.001,0.0,39.995,16.001
1970-01-01 00:00:27,16.0,0.0,0.0,0.0,16.001,0.0
1970-01-01 00:00:28,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:29,35.999,0.0,0.0,12.0,0.0,0.0
1970-01-01 00:00:30,0.0,0.0,28.001,36.0,0.0,0.0
1970-01-01 00:00:31,0.0,80.004,24.0,0.0,0.0,0.0
1970-01-01 00:00:32,0.0,0.0,0.0,0.0,0.0,48.001
1970-01-01 00:00:33,16.0,0.0,0.0,0.0,16.0,0.0
1970-01-01 00:00:34,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:35,0.0,0.0,0.0,19.992,0.0,0.0
1970-01-01 00:00:36,0.0,68.001,20.001,0.0,36.0,36.0
1970-01-01 00:00:37,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:38,16.0,0.0,0.0,0.0,0.0,16.0
1970-01-01 00:00:39,0.0,0.0,0.0,0.0,24.0,0.0
1970-01-01 00:00:40,0.0,0.0,0.0,20.0,0.0,0.0
1970-01-01 00:00:41,0.0,64.001,24.0,0.0,19.999,56.002
1970-01-01 00:00:42,0.0,40.0,32.002,0.0,0.0,0.0
1970-01-01 00:00:43,0.0,0.0,0.0,0.0,0.0,44.001
1970-01-01 00:00:44,20.0,0.0,0.0,0.0,36.0,0.0
1970-01-01 00:00:45,44.001,0.0,0.0,52.001,0.0,0.0
1970-01-01 00:00:46,0.0,68.001,0.0,0.0,0.0,80.001
1970-01-01 00:00:47,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:48,35.999,0.0,60.0,0.0,0.0,0.0
1970-01-01 00:00:49,0.0,0.0,0.0,0.0,0.0,44.0
1970-01-01 00:00:50,44.0,0.0,0.0,0.0,15.995,0.0
1970-01-01 00:00:51,0.0,95.999,0.0,55.999,0.0,44.0
1970-01-01 00:00:52,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:53,64.001,0.0,0.0,52.001,0.0,0.0
1970-01-01 00:00:54,0.0,0.0,36.0,0.0,0.0,0.0
1970-01-01 00:00:55,0.0,0.0,0.0,0.0,0.0,32.0
1970-01-01 00:00:56,48.0,20.001,0.0,0.0,16.0,0.0
1970-01-01 00:00:57,0.0,39.998,36.001,0.0,28.0,0.0
1970-01-01 00:00:58,36.001,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:59,0.0,0.0,0.0,11.999,0.0,0.0
1970-01-01 00:01:00,0.0,0.0,36.0,0.0,0.0,0.0
1970-01-01 00:01:01,0.0,0.0,0.0,0.0,0.0,16.0
1970-01-01 00:01:02,19.999,40.002,0.0,0.0,16.0,0.0
1970-01-01 00:01:03,76.003,23.999,0.0,0.0,0.0,0.0
1970-01-01 00:01:04,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:05,0.0,0.0,0.0,64.001,0.0,0.0
1970-01-01 00:01:06,0.0,0.0,71.998,0.0,0.0,16.0
1970-01-01 00:01:07,0.0,24.0,0.0,0.0,36.0,0.0
1970-01-01 00:01:08,20.0,0.0,0.0,0.0,23.999,47.999
1970-01-01 00:01:09,0.0,19.999,0.0,0.0,36.0,0.0
1970-01-01 00:01:10,0.0,40.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:11,0.0,0.0,0.0,20.0,0.0,0.0
1970-01-01 00:01:12,0.0,51.998,20.0,0.0,0.0,16.0
1970-01-01 00:01:13,15.999,0.0,0.0,0.0,35.999,0.0
1970-01-01 00:01:14,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:15,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:16,0.0,56.002,0.0,40.001,0.0,0.0
1970-01-01 00:01:17,0.0,24.0,8.0,28.0,0.0,0.0
1970-01-01 00:01:18,0.0,0.0,28.0,0.0,0.0,16.0
1970-01-01 00:01:19,16.0,0.0,0.0,39.999,12.0,0.0
1970-01-01 00:01:20,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:21,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:22,0.0,63.999,20.0,0.0,20.001,36.0
1970-01-01 00:01:23,0.0,0.0,0.0,39.998,0.0,0.0
1970-01-01 00:01:24,0.0,0.0,32.0,0.0,0.0,32.0
1970-01-01 00:01:25,16.0,0.0,0.0,0.0,27.999,0.0
1970-01-01 00:01:26,0.0,0.0,0.0,8.0,0.0,0.0
1970-01-01 00:01:27,0.0,84.003,32.0,0.0,0.0,0.0
1970-01-01 00:01:28,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:29,0.0,0.0,0.0,28.0,0.0,0.0
1970-01-01 00:01:30,0.0,0.0,20.001,0.0,0.0,16.0
1970-01-01 00:01:31,12.0,0.0,0.0,0.0,16.0,0.0
1970-01-01 00:01:32,0.0,76.0,8.0,20.0,32.001,24.0
1970-01-01 00:01:33,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:34,36.001,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:35,0.0,0.0,32.0,31.999,0.0,0.0
1970-01-01 00:01:36,0.0,0.0,0.0,0.0,0.0,28.0
1970-01-01 00:01:37,32.001,48.001,0.0,0.0,48.0,0.0
1970-01-01 00:01:38,20.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:39,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:40,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:41,0.0,0.0,20.0,76.001,0.0,0.0
1970-01-01 00:01:42,0.0,40.001,24.003,0.0,48.001,52.0
1970-01-01 00:01:43,20.0,84.001,0.0,0.0,0.0,0.0
1970-01-01 00:01:44,64.001,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:45,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:46,0.0,0.0,0.0,0.0,0.0,44.001
1970-01-01 00:01:47,0.0,0.0,28.0,44.0,0.0,0.0
1970-01-01 00:01:48,0.0,76.001,60.0,0.0,16.0,32.0
1970-01-01 00:01:49,52.001,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:50,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:51,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:52,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:53,0.0,79.999,40.0,27.999,0.0,36.001
1970-01-01 00:01:54,0.0,0.0,0.0,0.0,16.0,32.0
1970-01-01 00:01:55,16.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:56,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:57,0.0,0.0,0.0,8.0,0.0,0.0
1970-01-01 00:01:58,0.0,83.999,28.0,0.0,0.0,0.0
1970-01-01 00:01:59,0.0,0.0,20.0,24.0,0.0,16.0
1970-01-01 00:02:00,0.0,0.0,0.0,0.0,16.0,0.0
1970-01-01 00:02:01,12.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:02:02,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:02:03,0.0,63.999,32.0,0.0,24.001,0.0
1970-01-01 00:02:04,32.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:02:05,0.0,0.0,44.001,19.999,0.0,16.0
1970-01-01 00:02:06,0.0,0.0,0.0,0.0,28.0,0.0
1970-01-01 00:02:07,20.0,0.0,0.0,0.0,36.0,0.0
1970-01-01 00:02:08,0.0,0.0,0.0,0.0,28.0,0.0
1970-01-01 00:02:09,0.0,40.0,0.0,0.0,39.999,0.0
1970-01-01 00:02:10,8.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:02:11,0.0,0.0,20.0,20.0,0.0,16.0
1970-01-01 00:02:12,0.0,0.0,0.0,20.0,36.0,0.0
1970-01-01 00:02:13,68.001,0.0,0.0,0.0,8.0,15.999
1970-01-01 00:02:14,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:02:15,8.0,24.0,0.0,0.0,0.0,0.0
1970-01-01 00:02:16,0.0,0.0,20.0,0.0,0.0,32.0
1970-01-01 00:02:17,0.0,0.0,47.999,71.999,0.0,0.0
1970-01-01 00:02:18,0.0,0.0,0.0,36.0,23.999,44.001
1970-01-01 00:02:19,31.999,0.0,8.0,40.0,0.0,0.0
1970-01-01 00:02:20,8.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:02:21,0.0,20.0,0.0,0.0,0.0,36.0
1970-01-01 00:02:22,0.0,0.0,39.999,0.0,0.0,0.0
1970-01-01 00:02:23,0.0,0.0,0.0,52.001,0.0,0.0
1970-01-01 00:02:24,0.0,0.0,0.0,0.0,16.0,35.999
1970-01-01 00:02:25,48.001,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:02:26,0.0,20.0,0.0,0.0,0.0,19.999
1970-01-01 00:02:27,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:02:28,0.0,0.0,12.0,7.994,0.0,0.0
1970-01-01 00:02:29,0.0,31.998,28.0,24.0,0.0,0.0
1970-01-01 00:02:30,0.0,0.0,0.0,0.0,16.0,0.0
1970-01-01 00:02:31,24.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:02:32,0.0,20.001,0.0,0.0,0.0,16.001
1970-01-01 00:02:33,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:02:34,0.0,43.998,31.999,0.0,0.0,0.0
1970-01-01 00:02:35,27.999,0.0,0.0,19.999,0.0,0.0
1970-01-01 00:02:36,20.0,0.0,0.0,0.0,16.0,0.0
1970-01-01 00:02:37,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:02:38,0.0,48.0,0.0,0.0,0.0,12.0
1970-01-01 00:02:39,0.0,0.0,0.0,0.0,27.998,0.0
1970-01-01 00:02:40,0.0,0.0,24.0,0.0,0.0,0.0
1970-01-01 00:02:41,0.0,0.0,0.0,20.0,0.0,0.0
1970-01-01 00:02:42,20.0,40.0,0.0,0.0,56.001,0.0
1970-01-01 00:02:43,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:02:44,60.001,48.0,16.0,0.0,28.0,16.0
1970-01-01 00:02:45,16.0,0.0,40.001,0.0,0.0,0.0
1970-01-01 00:02:46,0.0,0.0,0.0,0.0,0.0,35.999
1970-01-01 00:02:47,59.999,0.0,0.0,16.0,36.001,0.0
1970-01-01 00:02:48,0.0,0.0,40.002,28.001,0.0,0.0
1970-01-01 00:02:49,51.998,28.0,0.0,0.0,0.0,0.0
1970-01-01 00:02:50,0.0,0.0,55.999,0.0,0.0,32.0
1970-01-01 00:02:51,0.0,0.0,0.0,0.0,0.0,28.001
1970-01-01 00:02:52,0.0,0.0,51.999,0.0,0.0,0.0
1970-01-01 00:02:53,16.0,0.0,0.0,99.998,16.0,0.0
1970-01-01 00:02:54,0.0,0.0,0.0,0.0,0.0,51.999
1970-01-01 00:02:55,0.0,20.0,0.0,0.0,0.0,0.0
1970-01-01 00:02:56,0.0,0.0,20.0,0.0,0.0,56.001
1970-01-01 00:02:57,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:02:58,16.0,0.0,0.0,32.001,0.0,0.0
1970-01-01 00:02:59,0.0,0.0,28.0,8.0,12.0,8.0
1970-01-01 00:03:00,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:03:01,0.0,20.0,0.0,0.0,0.0,0.0
1970-01-01 00:03:02,32.0,39.999,23.999,0.0,0.0,32.0
1970-01-01 00:03:03,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:03:04,0.0,35.999,0.0,32.002,0.0,0.0
1970-01-01 00:03:05,0.0,0.0,8.0,0.0,16.001,0.0
1970-01-01 00:03:06,40.0,39.999,0.0,0.0,0.0,0.0
1970-01-01 00:03:07,31.999,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:03:08,0.0,0.0,32.001,0.0,0.0,12.0
1970-01-01 00:03:09,0.0,0.0,0.0,0.0,72.001,0.0
1970-01-01 00:03:10,0.0,8.0,0.0,20.0,0.0,0.0
1970-01-01 00:03:11,0.0,39.999,0.0,0.0,36.001,0.0
1970-01-01 00:03:12,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:03:13,16.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:03:14,0.0,0.0,20.0,8.0,0.0,16.0
1970-01-01 00:03:15,0.0,0.0,0.0,0.0,8.0,8.0
1970-01-01 00:03:16,48.0,15.999,0.0,36.0,0.0,0.0
