time,no-latency,10ms-latency-100ms,10ms-latency-200ms,10ms-latency-300ms,10ms-latency-400ms,10ms-latency-500ms
1970-01-01 00:00:00,99.251,99.873,99.687,99.812,99.875,99.815
1970-01-01 00:00:01,99.183,99.498,99.685,99.689,99.683,99.564
1970-01-01 00:00:02,99.125,100.002,99.815,99.749,99.938,99.747
1970-01-01 00:00:03,98.813,99.626,99.749,99.811,99.938,99.875
1970-01-01 00:00:04,99.25,99.812,99.877,99.75,99.689,99.814
1970-01-01 00:00:05,99.126,99.751,99.812,99.75,99.684,99.747
1970-01-01 00:00:06,99.186,99.748,99.562,99.751,99.438,99.564
1970-01-01 00:00:07,99.128,99.815,99.874,99.812,99.878,99.688
1970-01-01 00:00:08,99.247,99.684,99.939,99.814,99.811,99.75
1970-01-01 00:00:09,99.126,99.94,99.688,99.743,99.876,99.811
1970-01-01 00:00:10,99.312,99.75,99.875,99.756,99.689,99.752
1970-01-01 00:00:11,99.185,99.311,99.374,99.686,99.498,99.126
1970-01-01 00:00:12,99.187,99.752,99.875,99.878,99.877,99.812
1970-01-01 00:00:13,98.812,99.939,99.812,99.747,99.874,99.874
1970-01-01 00:00:14,99.188,99.748,99.875,99.875,99.811,99.936
1970-01-01 00:00:15,98.937,99.875,99.815,99.812,99.75,99.626
1970-01-01 00:00:16,99.125,98.936,99.688,99.625,99.689,99.561
1970-01-01 00:00:17,99.0,99.876,99.81,99.937,99.812,99.939
1970-01-01 00:00:18,98.752,99.689,99.877,99.814,99.752,99.813
1970-01-01 00:00:19,99.185,99.689,99.747,99.813,99.936,99.875
1970-01-01 00:00:20,99.189,99.812,99.749,99.812,99.687,99.748
1970-01-01 00:00:21,99.248,99.561,99.375,99.438,99.436,99.126
1970-01-01 00:00:22,99.126,99.876,99.876,99.627,99.815,99.626
1970-01-01 00:00:23,98.875,99.876,99.876,99.937,99.874,99.935
1970-01-01 00:00:24,99.25,99.813,99.751,99.809,99.75,99.751
1970-01-01 00:00:25,99.063,99.751,99.685,99.502,99.629,99.688
1970-01-01 00:00:26,99.249,99.247,99.753,99.69,99.738,99.879
1970-01-01 00:00:27,99.061,99.752,99.813,99.75,99.819,99.747
1970-01-01 00:00:28,99.128,99.874,99.811,99.688,99.752,99.75
1970-01-01 00:00:29,99.186,99.56,99.873,99.936,99.627,99.876
1970-01-01 00:00:30,99.124,99.747,99.69,99.813,99.748,99.751
1970-01-01 00:00:31,99.126,99.755,99.749,99.748,99.251,99.684
1970-01-01 00:00:32,99.124,99.94,99.747,99.752,99.875,99.752
1970-01-01 00:00:33,99.065,99.748,99.689,99.687,99.75,99.813
1970-01-01 00:00:34,99.247,99.814,99.873,99.791,99.811,99.94
1970-01-01 00:00:35,99.126,99.809,99.752,99.896,99.876,99.684
1970-01-01 00:00:36,99.248,99.564,99.877,99.443,99.687,99.626
1970-01-01 00:00:37,99.0,99.624,99.624,99.561,99.75,99.875
