time,no-latency,10ms-latency-100ms,10ms-latency-200ms,10ms-latency-300ms,10ms-latency-400ms,10ms-latency-500ms
1970-01-01 00:00:00,2024.447,21823.487,21774.335,21921.791,22020.095,21692.415
1970-01-01 00:00:10,7954.431,21823.487,21708.799,21921.791,21856.255,21741.567
1970-01-01 00:00:20,1852.415,29310.975,21823.487,21856.255,21921.791,21643.263
1970-01-01 00:00:30,1879.039,21807.103,26984.447,21872.639,21823.487,26968.063
1970-01-01 00:00:40,1742.847,21889.023,21708.799,21921.791,21856.255,22069.247
1970-01-01 00:00:50,8187.903,21790.719,21774.335,21725.183,21889.023,21823.487
1970-01-01 00:01:00,5361.663,22003.711,21725.183,22069.247,21970.943,21708.799
1970-01-01 00:01:10,1776.639,21823.487,22069.247,22233.087,22020.095,21823.487
1970-01-01 00:01:20,1799.167,21823.487,21872.639,21954.559,21807.103,21725.183
1970-01-01 00:01:30,1924.095,21823.487,21708.799,21856.255,22102.015,21856.255
1970-01-01 00:01:40,1653.759,21741.567,21659.647,21954.559,21757.951,21954.559
1970-01-01 00:01:50,1742.847,21708.799,21692.415,21839.871,21774.335,30081.023
1970-01-01 00:02:00,1966.079,22495.231,21692.415,27541.503,21823.487,21757.951
1970-01-01 00:02:10,2064.383,21774.335,21970.943,21774.335,21774.335,21626.879
1970-01-01 00:02:20,5353.471,21757.951,21676.031,21839.871,21807.103,21676.031
1970-01-01 00:02:30,1816.575,21807.103,21692.415,21774.335,21954.559,21676.031
1970-01-01 00:02:40,2140.159,21839.871,21823.487,21856.255,21790.719,21757.951
1970-01-01 00:02:50,2824.191,21774.335,21774.335,22085.631,21790.719,21676.031
1970-01-01 00:03:00,2154.495,21790.719,21676.031,21807.103,21872.639,21692.415
1970-01-01 00:03:10,2336.767,29687.807,29638.655,29949.951,21774.335,21692.415
1970-01-01 00:03:20,1657.855,21741.567,21643.263,21774.335,21839.871,21708.799
1970-01-01 00:03:30,1894.399,21889.023,21856.255,22069.247,21839.871,21708.799
1970-01-01 00:03:40,4110.335,21807.103,21610.495,21839.871,29212.671,21856.255
1970-01-01 00:03:50,2113.535,21839.871,23461.887,21807.103,21807.103,21807.103
1970-01-01 00:04:00,1784.831,22200.319,21725.183,21872.639,21741.567,21676.031
1970-01-01 00:04:10,9437.183,21757.951,21708.799,21807.103,21725.183,21725.183
1970-01-01 00:04:20,1853.439,21889.023,21676.031,21921.791,21921.791,21676.031
1970-01-01 00:04:30,1714.175,21757.951,21676.031,21807.103,21774.335,27115.519
1970-01-01 00:04:40,1923.071,22069.247,29425.663,24690.687,21807.103,21741.567
1970-01-01 00:04:50,1786.879,21774.335,21790.719,21839.871,28098.559,21741.567
1970-01-01 00:05:00,2099.199,21823.487,21626.879,21889.023,21807.103,21676.031
1970-01-01 00:05:10,1742.847,21741.567,25788.415,22020.095,21774.335,21676.031
1970-01-01 00:05:20,1831.935,21692.415,21676.031,21938.175,22102.015,21774.335
1970-01-01 00:05:30,1683.455,28377.087,21659.647,21970.943,21938.175,21790.719
1970-01-01 00:05:40,8249.343,21757.951,21807.103,21970.943,21823.487,21676.031
1970-01-01 00:05:50,1880.063,21708.799,21708.799,21938.175,21839.871,21708.799
1970-01-01 00:06:00,2136.063,21708.799,21725.183,21970.943,21856.255,21692.415
1970-01-01 00:06:10,1902.591,21921.791,21839.871,21823.487,21839.871,21708.799
1970-01-01 00:06:20,1730.559,21741.567,21676.031,21839.871,21872.639,21757.951
1970-01-01 00:06:30,4698.111,21741.567,21889.023,21807.103,21807.103,21708.799
1970-01-01 00:06:40,1795.071,29704.191,22069.247,21774.335,21757.951,21659.647
1970-01-01 00:06:50,6860.799,21725.183,21741.567,21741.567,21921.791,21676.031
1970-01-01 00:07:00,1865.727,21725.183,21692.415,21807.103,21708.799,21659.647
1970-01-01 00:07:10,1827.839,21741.567,21757.951,21839.871,21790.719,21643.263
1970-01-01 00:07:20,1651.711,21741.567,21725.183,21872.639,21807.103,21659.647
1970-01-01 00:07:30,1721.343,21807.103,21823.487,21856.255,21790.719,23265.279
1970-01-01 00:07:40,1997.823,21708.799,21676.031,21823.487,21790.719,21643.263
