time,no-latency,10ms-latency-100ms,10ms-latency-200ms,10ms-latency-300ms,10ms-latency-400ms,10ms-latency-500ms
1970-01-01 00:00:00,1275.269,9433.78,9418.1,9453.57,9418.97,9448.692
1970-01-01 00:00:10,1290.638,9425.969,9432.608,9445.756,9438.64,9454.767
1970-01-01 00:00:20,1287.859,9436.614,9427.079,9422.757,9411.241,9455.478
1970-01-01 00:00:30,1285.845,9421.938,9394.14,9434.946,9405.108,9461.866
1970-01-01 00:00:40,1283.617,9429.144,9421.525,9416.032,9396.732,9458.95
1970-01-01 00:00:50,1289.344,9413.671,9408.542,9406.017,9421.427,9459.501
1970-01-01 00:01:00,1290.906,9425.939,9402.903,9379.815,9402.468,9443.726
1970-01-01 00:01:10,1281.601,9412.394,9378.758,9374.879,9394.569,9399.888
1970-01-01 00:01:20,1292.474,9368.152,9403.134,9397.263,9388.787,9406.469
1970-01-01 00:01:30,1283.935,9370.603,9379.309,9373.673,9378.215,9412.179
1970-01-01 00:01:40,1281.602,9359.101,9371.519,9390.969,9379.493,9427.588
1970-01-01 00:01:50,1291.326,9369.835,9379.458,9371.815,9386.745,9408.249
1970-01-01 00:02:00,1287.766,9361.821,9382.971,9392.743,9386.713,9421.624
1970-01-01 00:02:10,1289.571,9369.831,9369.389,9372.021,9392.277,9399.551
1970-01-01 00:02:20,1287.522,9369.504,9390.511,9365.262,9388.504,9412.11
1970-01-01 00:02:30,1291.253,9373.385,9369.544,9387.403,9397.096,9422.533
1970-01-01 00:02:40,1291.559,9359.336,9373.562,9390.863,9411.268,9410.664
1970-01-01 00:02:50,1316.347,9386.816,9384.764,9379.204,9394.837,9417.429
1970-01-01 00:03:00,1310.725,9384.943,9372.74,9388.984,9409.303,9416.116
1970-01-01 00:03:10,1307.467,9409.257,9378.013,9381.791,9394.838,9416.019
1970-01-01 00:03:20,1308.264,9387.16,9350.816,9384.561,9405.733,9429.102
1970-01-01 00:03:30,1305.675,9396.272,9356.858,9399.648,9394.119,9442.207
1970-01-01 00:03:40,1297.395,9382.923,9364.313,9369.693,9384.591,9447.163
1970-01-01 00:03:50,1300.078,9382.585,9382.097,9402.227,9376.682,9438.261
1970-01-01 00:04:00,1288.493,9382.595,9368.281,9408.328,9367.873,9439.225
1970-01-01 00:04:10,1270.473,9375.232,9380.607,9394.163,9372.738,9434.535
1970-01-01 00:04:20,1280.162,9381.478,9368.644,9402.297,9375.275,9441.324
1970-01-01 00:04:30,1280.81,9366.504,9359.665,9399.296,9368.63,9437.945
1970-01-01 00:04:40,1275.984,9365.494,9368.162,9404.473,9400.611,9421.695
1970-01-01 00:04:50,1283.356,9370.354,9382.303,9378.991,9378.326,9434.916
1970-01-01 00:05:00,1298.309,9384.298,9363.307,9393.414,9379.114,9431.696
1970-01-01 00:05:10,1287.654,9359.698,9374.684,9396.135,9367.282,9426.321
1970-01-01 00:05:20,1292.185,9330.375,9363.998,9394.004,9370.333,9437.991
1970-01-01 00:05:30,1283.076,9348.788,9365.651,9400.929,9364.89,9418.177
1970-01-01 00:05:40,1290.939,9358.294,9365.043,9413.076,9366.565,9425.71
1970-01-01 00:05:50,1296.115,9360.889,9379.859,9395.498,9383.83,9419.435
1970-01-01 00:06:00,1289.926,9351.383,9369.354,9387.345,9365.433,9428.631
1970-01-01 00:06:10,1290.066,9343.057,9343.187,9385.926,9387.17,9423.388
1970-01-01 00:06:20,1294.081,9376.017,9352.002,9375.131,9370.518,9421.098
1970-01-01 00:06:30,1289.026,9368.462,9366.411,9376.06,9377.706,9423.738
1970-01-01 00:06:40,1285.116,9370.2,9343.536,9367.959,9342.927,9430.326
1970-01-01 00:06:50,1282.442,9358.651,9379.386,9376.928,9370.007,9405.153
1970-01-01 00:07:00,1283.247,9360.489,9362.892,9361.737,9365.062,9407.786
1970-01-01 00:07:10,1284.296,9357.312,9367.119,9375.237,9380.165,9410.163
1970-01-01 00:07:20,1285.281,9361.231,9372.848,9369.425,9375.623,9398.533
1970-01-01 00:07:30,1290.454,9358.35,9386.666,9366.158,9382.169,9406.775
1970-01-01 00:07:40,1299.513,9350.845,9378.042,9374.348,9380.442,9410.394
