time,no-latency,10ms-latency-100ms,10ms-latency-200ms,10ms-latency-300ms,10ms-latency-400ms,10ms-latency-500ms
1970-01-01 00:00:00,1114.112,1181.696,1209.344,1179.648,1122.304,1278.976
1970-01-01 00:00:10,1131.52,1177.6,1206.272,1179.648,1119.232,1289.216
1970-01-01 00:00:20,1123.328,1160.192,1232.896,1137.664,1132.544,1256.448
1970-01-01 00:00:30,1124.352,1169.408,1159.168,1166.336,1104.896,1283.072
1970-01-01 00:00:40,1133.568,1173.504,1208.32,1159.168,1099.776,1266.688
1970-01-01 00:00:50,1122.304,1160.192,1195.008,1153.024,1125.376,1269.76
1970-01-01 00:01:00,1126.4,1160.192,1183.744,1135.616,1139.712,1210.368
1970-01-01 00:01:10,1134.592,1159.168,1161.216,1136.64,1135.616,1240.064
1970-01-01 00:01:20,1142.784,1110.016,1203.2,1137.664,1104.896,1215.488
1970-01-01 00:01:30,1134.592,1126.4,1201.152,1125.376,1100.8,1221.632
1970-01-01 00:01:40,1134.592,1123.328,1175.552,1126.4,1059.84,1222.656
1970-01-01 00:01:50,1132.544,1129.472,1159.168,1122.304,1110.016,1226.752
1970-01-01 00:02:00,1125.376,1111.04,1171.456,1132.544,1120.256,1249.28
1970-01-01 00:02:10,1128.448,1136.64,1157.12,1125.376,1120.256,1206.272
1970-01-01 00:02:20,1118.208,1126.4,1157.12,1133.568,1124.352,1213.44
1970-01-01 00:02:30,1134.592,1134.592,1189.888,1152.0,1114.112,1240.064
1970-01-01 00:02:40,1123.328,1118.208,1148.928,1129.472,1127.424,1258.496
1970-01-01 00:02:50,1139.712,1136.64,1164.288,1132.544,1124.352,1236.992
1970-01-01 00:03:00,1137.664,1143.808,1149.952,1118.208,1122.304,1247.232
1970-01-01 00:03:10,1135.616,1145.856,1173.504,1126.4,1092.608,1231.872
1970-01-01 00:03:20,1129.472,1133.568,1163.264,1128.448,1118.208,1241.088
1970-01-01 00:03:30,1147.904,1133.568,1146.88,1118.208,1089.536,1253.376
1970-01-01 00:03:40,1131.52,1094.656,1172.48,1134.592,1093.632,1258.496
1970-01-01 00:03:50,1114.112,1144.832,1160.192,1132.544,1111.04,1250.304
1970-01-01 00:04:00,1108.992,1143.808,1173.504,1133.568,1107.968,1262.592
1970-01-01 00:04:10,1101.824,1145.856,1179.648,1126.4,1106.944,1263.616
1970-01-01 00:04:20,1113.088,1146.88,1163.264,1146.88,1104.896,1227.776
1970-01-01 00:04:30,1119.232,1106.944,1165.312,1145.856,1065.984,1247.232
1970-01-01 00:04:40,1119.232,1101.824,1153.024,1145.856,1094.656,1228.8
1970-01-01 00:04:50,1113.088,1129.472,1179.648,1135.616,1107.968,1250.304
1970-01-01 00:05:00,1149.952,1114.112,1164.288,1140.736,1108.992,1215.488
1970-01-01 00:05:10,1121.28,1118.208,1149.952,1123.328,1111.04,1243.136
1970-01-01 00:05:20,1134.592,1124.352,1143.808,1113.088,1104.896,1238.016
1970-01-01 00:05:30,1127.424,1112.064,1180.672,1133.568,1096.704,1240.064
1970-01-01 00:05:40,1137.664,1121.28,1130.496,1143.808,1074.176,1230.848
1970-01-01 00:05:50,1129.472,1127.424,1141.76,1141.76,1104.896,1228.8
1970-01-01 00:06:00,1130.496,1112.064,1185.792,1131.52,1098.752,1222.656
1970-01-01 00:06:10,1124.352,1092.608,1170.432,1134.592,1102.848,1218.56
1970-01-01 00:06:20,1119.232,1118.208,1128.448,1125.376,1091.584,1229.824
1970-01-01 00:06:30,1138.688,1137.664,1164.288,1120.256,1113.088,1207.296
1970-01-01 00:06:40,1121.28,1112.064,1169.408,1114.112,1067.008,1242.112
1970-01-01 00:06:50,1122.304,1115.136,1175.552,1131.52,1108.992,1224.704
1970-01-01 00:07:00,1126.4,1118.208,1143.808,1127.424,1102.848,1230.848
1970-01-01 00:07:10,1122.304,1117.184,1177.6,1128.448,1115.136,1214.464
1970-01-01 00:07:20,1128.448,1110.016,1148.928,1127.424,1114.112,1193.984
1970-01-01 00:07:30,1129.472,1125.376,1160.192,1130.496,1105.92,1211.392
1970-01-01 00:07:40,1131.52,1064.96,1166.336,1122.304,1116.16,1226.752
