time,no-latency,10ms-latency-100ms,10ms-latency-200ms,10ms-latency-300ms,10ms-latency-400ms,10ms-latency-500ms
1970-01-01 00:00:00,80.009,9918.051,9876.369,9883.812,9933.716,9836.836
1970-01-01 00:00:10,133.694,9913.989,9873.007,9881.768,9933.315,9825.361
1970-01-01 00:00:20,79.974,9933.218,9871.144,9872.873,9931.75,9819.264
1970-01-01 00:00:30,81.66,9920.074,9873.101,9875.152,9930.554,9836.175
1970-01-01 00:00:40,78.054,9916.94,9874.515,9880.967,9927.515,9830.929
1970-01-01 00:00:50,110.442,9922.851,9874.862,9880.396,9931.572,9825.527
1970-01-01 00:01:00,93.057,9920.79,9869.482,9870.139,9921.939,9828.948
1970-01-01 00:01:10,79.075,9912.908,9872.245,9873.71,9919.146,9826.072
1970-01-01 00:01:20,85.885,9914.542,9872.027,9878.748,9925.063,9830.646
1970-01-01 00:01:30,81.162,9913.815,9868.442,9876.747,9924.067,9833.799
1970-01-01 00:01:40,79.493,9917.624,9873.989,9884.76,9924.79,9836.819
1970-01-01 00:01:50,82.515,9919.514,9867.396,9872.861,9925.816,9842.389
1970-01-01 00:02:00,80.733,9920.294,9866.84,9890.329,9925.269,9830.192
1970-01-01 00:02:10,83.268,9913.969,9874.365,9876.017,9921.907,9834.938
1970-01-01 00:02:20,93.655,9914.964,9876.137,9872.282,9924.334,9825.442
1970-01-01 00:02:30,81.11,9921.108,9868.481,9876.38,9922.745,9832.381
1970-01-01 00:02:40,82.462,9917.39,9877.701,9882.915,9920.488,9825.633
1970-01-01 00:02:50,90.482,9921.413,9878.514,9877.34,9918.427,9825.596
1970-01-01 00:03:00,82.972,9916.335,9871.598,9872.418,9918.537,9825.262
1970-01-01 00:03:10,83.276,9927.058,9882.751,9887.333,9924.809,9827.463
1970-01-01 00:03:20,81.403,9916.088,9865.891,9869.49,9918.125,9822.915
1970-01-01 00:03:30,85.148,9912.532,9868.88,9877.164,9922.555,9832.121
1970-01-01 00:03:40,89.958,9918.92,9869.251,9872.305,9939.78,9831.914
1970-01-01 00:03:50,89.348,9919.602,9881.01,9875.819,9919.651,9832.484
1970-01-01 00:04:00,81.604,9920.871,9871.5,9883.156,9912.553,9832.697
1970-01-01 00:04:10,134.245,9920.885,9873.946,9875.122,9921.192,9836.087
1970-01-01 00:04:20,84.699,9921.797,9873.204,9880.475,9925.666,9838.226
1970-01-01 00:04:30,80.618,9924.259,9868.053,9884.09,9922.524,9849.741
1970-01-01 00:04:40,81.464,9921.098,9876.533,9885.071,9918.934,9834.471
1970-01-01 00:04:50,80.863,9916.337,9867.871,9880.042,9927.722,9840.136
1970-01-01 00:05:00,78.702,9928.555,9865.49,9881.802,9919.372,9838.303
1970-01-01 00:05:10,79.307,9920.919,9869.88,9883.74,9919.675,9832.181
1970-01-01 00:05:20,80.47,9914.888,9863.802,9881.406,9919.466,9839.093
1970-01-01 00:05:30,78.184,9926.971,9867.396,9879.726,9923.838,9836.747
1970-01-01 00:05:40,113.821,9917.581,9869.821,9884.767,9917.481,9837.275
1970-01-01 00:05:50,82.182,9918.295,9868.103,9878.775,9925.453,9836.043
1970-01-01 00:06:00,81.17,9913.504,9867.623,9883.831,9920.809,9835.051
1970-01-01 00:06:10,84.494,9911.772,9864.389,9885.181,9926.07,9828.301
1970-01-01 00:06:20,82.597,9914.293,9868.219,9877.68,9921.078,9830.866
1970-01-01 00:06:30,88.563,9912.766,9873.854,9875.733,9919.087,9828.346
1970-01-01 00:06:40,82.458,9931.866,9861.404,9875.641,9916.147,9837.47
1970-01-01 00:06:50,102.929,9917.334,9868.488,9871.919,9923.249,9835.346
1970-01-01 00:07:00,82.932,9921.151,9872.474,9871.774,9920.826,9835.864
1970-01-01 00:07:10,82.144,9911.708,9869.583,9877.625,9922.522,9837.214
1970-01-01 00:07:20,77.449,9913.703,9872.179,9877.919,9920.269,9836.584
1970-01-01 00:07:30,82.778,9912.305,9870.592,9874.133,9917.636,9831.833
1970-01-01 00:07:40,88.165,9915.645,9867.633,9876.515,9922.59,9832.913
