time,no-latency,10ms-latency-100ms,10ms-latency-200ms,10ms-latency-300ms,10ms-latency-400ms,10ms-latency-500ms
1970-01-01 00:00:00,1197.055,1278.975,1343.487,1357.823,1217.535,1394.687
1970-01-01 00:00:10,1209.343,1275.903,1351.679,1350.655,1222.655,1424.383
1970-01-01 00:00:20,1209.343,1262.591,1350.655,1344.511,1221.631,1410.047
1970-01-01 00:00:30,1206.271,1259.519,1303.551,1332.223,1213.439,1406.975
1970-01-01 00:00:40,1207.295,1268.735,1342.463,1326.079,1196.031,1405.951
1970-01-01 00:00:50,1214.463,1253.375,1330.175,1308.671,1219.583,1417.215
1970-01-01 00:01:00,1212.415,1263.615,1330.175,1309.695,1223.679,1382.399
1970-01-01 00:01:10,1202.175,1241.087,1309.695,1291.263,1207.295,1366.015
1970-01-01 00:01:20,1208.319,1224.703,1320.959,1312.767,1199.103,1358.847
1970-01-01 00:01:30,1202.175,1210.367,1314.815,1281.023,1191.935,1367.039
1970-01-01 00:01:40,1201.151,1201.151,1299.455,1282.047,1189.887,1367.039
1970-01-01 00:01:50,1209.343,1203.199,1299.455,1290.239,1196.031,1374.207
1970-01-01 00:02:00,1211.391,1197.055,1312.767,1292.287,1193.983,1377.279
1970-01-01 00:02:10,1207.295,1209.343,1298.431,1291.263,1206.271,1351.679
1970-01-01 00:02:20,1207.295,1208.319,1300.479,1298.431,1202.175,1366.015
1970-01-01 00:02:30,1211.391,1205.247,1315.839,1307.647,1208.319,1372.159
1970-01-01 00:02:40,1213.439,1199.103,1298.431,1288.191,1217.535,1375.231
1970-01-01 00:02:50,1233.919,1220.607,1302.527,1297.407,1216.511,1377.279
1970-01-01 00:03:00,1232.895,1238.015,1291.263,1300.479,1212.415,1373.183
1970-01-01 00:03:10,1229.823,1246.207,1295.359,1295.359,1205.247,1368.063
1970-01-01 00:03:20,1228.799,1232.895,1289.215,1306.623,1208.319,1383.423
1970-01-01 00:03:30,1223.679,1229.823,1282.047,1303.551,1203.199,1392.639
1970-01-01 00:03:40,1216.511,1224.703,1291.263,1302.527,1195.007,1398.783
1970-01-01 00:03:50,1215.487,1222.655,1298.431,1315.839,1192.959,1390.591
1970-01-01 00:04:00,1212.415,1215.487,1297.407,1303.551,1196.031,1392.639
1970-01-01 00:04:10,1188.863,1208.319,1301.503,1323.007,1192.959,1393.663
1970-01-01 00:04:20,1197.055,1215.487,1297.407,1306.623,1187.839,1385.471
1970-01-01 00:04:30,1200.127,1201.151,1307.647,1306.623,1189.887,1378.303
1970-01-01 00:04:40,1195.007,1206.271,1297.407,1310.719,1199.103,1375.231
1970-01-01 00:04:50,1205.247,1213.439,1306.623,1290.239,1204.223,1386.495
1970-01-01 00:05:00,1219.583,1204.223,1293.311,1299.455,1195.007,1372.159
1970-01-01 00:05:10,1207.295,1203.199,1309.695,1297.407,1186.815,1388.543
1970-01-01 00:05:20,1212.415,1200.127,1296.383,1294.335,1191.935,1385.471
1970-01-01 00:05:30,1205.247,1199.103,1300.479,1311.743,1183.743,1376.255
1970-01-01 00:05:40,1209.343,1198.079,1297.407,1312.767,1179.647,1374.207
1970-01-01 00:05:50,1214.463,1198.079,1307.647,1316.863,1193.983,1377.279
1970-01-01 00:06:00,1209.343,1203.199,1300.479,1290.239,1185.791,1377.279
1970-01-01 00:06:10,1208.319,1199.103,1298.431,1291.263,1193.983,1379.327
1970-01-01 00:06:20,1211.391,1218.559,1290.239,1288.191,1196.031,1370.111
1970-01-01 00:06:30,1209.343,1214.463,1291.263,1288.191,1195.007,1382.399
1970-01-01 00:06:40,1203.199,1203.199,1297.407,1284.095,1182.719,1376.255
1970-01-01 00:06:50,1202.175,1197.055,1302.527,1292.287,1190.911,1355.775
1970-01-01 00:07:00,1201.151,1198.079,1290.239,1291.263,1184.767,1348.607
1970-01-01 00:07:10,1204.223,1201.151,1297.407,1288.191,1191.935,1352.703
1970-01-01 00:07:20,1209.343,1200.127,1303.551,1279.999,1196.031,1352.703
1970-01-01 00:07:30,1207.295,1201.151,1310.719,1279.999,1197.055,1360.895
1970-01-01 00:07:40,1213.439,1192.959,1312.767,1287.167,1201.151,1363.967
