time,no-latency,10ms-latency-100ms,10ms-latency-200ms,10ms-latency-300ms,10ms-latency-400ms,10ms-latency-500ms
1970-01-01 00:00:00,1627.135,21774.335,21741.567,21905.407,21938.175,21692.415
1970-01-01 00:00:10,1628.159,21774.335,21708.799,21921.791,21856.255,21676.031
1970-01-01 00:00:20,1612.799,21872.639,21708.799,21807.103,21905.407,21643.263
1970-01-01 00:00:30,1645.567,21807.103,21725.183,21856.255,21790.719,21725.183
1970-01-01 00:00:40,1647.615,21757.951,21708.799,21823.487,21839.871,21790.719
1970-01-01 00:00:50,1679.359,21774.335,21708.799,21708.799,21839.871,21643.263
1970-01-01 00:01:00,1656.831,21872.639,21725.183,21987.327,21921.791,21708.799
1970-01-01 00:01:10,1601.535,21741.567,21889.023,21790.719,21872.639,21757.951
1970-01-01 00:01:20,1672.191,21790.719,21692.415,21921.791,21807.103,21659.647
1970-01-01 00:01:30,1615.871,21807.103,21626.879,21790.719,21790.719,21626.879
1970-01-01 00:01:40,1586.175,21725.183,21643.263,21856.255,21741.567,21725.183
1970-01-01 00:01:50,1622.015,21692.415,21692.415,21839.871,21757.951,21856.255
1970-01-01 00:02:00,1637.375,21741.567,21659.647,21872.639,21774.335,21676.031
1970-01-01 00:02:10,1659.903,21725.183,21692.415,21757.951,21774.335,21626.879
1970-01-01 00:02:20,1602.559,21741.567,21626.879,21807.103,21790.719,21626.879
1970-01-01 00:02:30,1677.311,21774.335,21676.031,21725.183,21790.719,21643.263
1970-01-01 00:02:40,1764.351,21757.951,21741.567,21856.255,21774.335,21594.111
1970-01-01 00:02:50,1729.535,21757.951,21708.799,21807.103,21774.335,21626.879
1970-01-01 00:03:00,1720.319,21757.951,21643.263,21774.335,21790.719,21594.111
1970-01-01 00:03:10,1661.951,21774.335,21659.647,21889.023,21757.951,21676.031
1970-01-01 00:03:20,1595.391,21741.567,21643.263,21725.183,21807.103,21643.263
1970-01-01 00:03:30,1686.527,21823.487,21692.415,21790.719,21839.871,21659.647
1970-01-01 00:03:40,1653.759,21708.799,21610.495,21790.719,29212.671,21823.487
1970-01-01 00:03:50,1817.599,21741.567,21708.799,21807.103,21790.719,21708.799
1970-01-01 00:04:00,1663.999,21708.799,21626.879,21856.255,21725.183,21659.647
1970-01-01 00:04:10,1699.839,21725.183,21708.799,21807.103,21708.799,21708.799
1970-01-01 00:04:20,1657.855,21757.951,21659.647,21823.487,21889.023,21659.647
1970-01-01 00:04:30,1577.983,21725.183,21659.647,21790.719,21741.567,21921.791
1970-01-01 00:04:40,1661.951,21839.871,21708.799,21839.871,21741.567,21626.879
1970-01-01 00:04:50,1687.551,21757.951,21774.335,21774.335,21905.407,21692.415
1970-01-01 00:05:00,1615.871,21757.951,21610.495,21889.023,21774.335,21659.647
1970-01-01 00:05:10,1610.751,21692.415,21725.183,21889.023,21741.567,21643.263
1970-01-01 00:05:20,1592.319,21692.415,21659.647,21921.791,21856.255,21692.415
1970-01-01 00:05:30,1589.247,21790.719,21610.495,21954.559,21807.103,21725.183
1970-01-01 00:05:40,1633.279,21725.183,21626.879,21921.791,21774.335,21659.647
1970-01-01 00:05:50,1628.159,21708.799,21643.263,21938.175,21790.719,21659.647
1970-01-01 00:06:00,1687.551,21676.031,21676.031,21872.639,21757.951,21643.263
1970-01-01 00:06:10,1751.039,21757.951,21610.495,21807.103,21807.103,21692.415
1970-01-01 00:06:20,1605.631,21692.415,21610.495,21790.719,21807.103,21708.799
1970-01-01 00:06:30,1603.583,21741.567,21823.487,21757.951,21790.719,21676.031
1970-01-01 00:06:40,1701.887,21725.183,21790.719,21741.567,21741.567,21659.647
1970-01-01 00:06:50,1623.039,21708.799,21692.415,21725.183,21741.567,21643.263
1970-01-01 00:07:00,1596.415,21676.031,21676.031,21774.335,21708.799,21643.263
1970-01-01 00:07:10,1603.583,21708.799,21676.031,21790.719,21774.335,21643.263
1970-01-01 00:07:20,1562.623,21708.799,21708.799,21757.951,21790.719,21594.111
1970-01-01 00:07:30,1603.583,21692.415,21725.183,21757.951,21757.951,21659.647
1970-01-01 00:07:40,1782.783,21692.415,21659.647,21823.487,21790.719,21610.495
