time,no-latency,10ms-latency-100ms,10ms-latency-200ms,10ms-latency-300ms,10ms-latency-400ms,10ms-latency-500ms
1970-01-01 00:00:00,7845.0,1061.0,1062.0,1059.0,1062.0,1059.0
1970-01-01 00:00:10,15595.0,2123.0,2123.0,2118.0,2124.0,2117.0
1970-01-01 00:00:20,23364.0,3184.0,3185.0,3180.0,3187.0,3174.0
1970-01-01 00:00:30,31145.0,4246.0,4249.0,4241.0,4249.0,4233.0
1970-01-01 00:00:40,38940.0,5307.0,5310.0,5303.0,5315.0,5289.0
1970-01-01 00:00:50,46700.0,6369.0,6374.0,6368.0,6378.0,6348.0
1970-01-01 00:01:00,54450.0,7430.0,7438.0,7433.0,7441.0,7408.0
1970-01-01 00:01:10,62257.0,8495.0,8505.0,8502.0,8505.0,8471.0
1970-01-01 00:01:20,69998.0,9563.0,9560.0,9554.0,9561.0,9525.0
1970-01-01 00:01:30,77713.0,10620.0,10625.0,10623.0,10628.0,10587.0
1970-01-01 00:01:40,85520.0,11689.0,11694.0,11689.0,11694.0,11650.0
1970-01-01 00:01:50,93269.0,12755.0,12761.0,12756.0,12761.0,12712.0
1970-01-01 00:02:00,101038.0,13824.0,13827.0,13822.0,13827.0,13774.0
1970-01-01 00:02:10,108797.0,14893.0,14894.0,14889.0,14891.0,14838.0
1970-01-01 00:02:20,116568.0,15960.0,15961.0,15958.0,15958.0,15902.0
1970-01-01 00:02:30,124317.0,17029.0,17027.0,17022.0,17022.0,16965.0
1970-01-01 00:02:40,132063.0,18098.0,18096.0,18088.0,18087.0,18027.0
1970-01-01 00:02:50,139664.0,19162.0,19162.0,19155.0,19150.0,19089.0
1970-01-01 00:03:00,147297.0,20228.0,20229.0,20221.0,20214.0,20153.0
1970-01-01 00:03:10,154950.0,21292.0,21295.0,21288.0,21280.0,21214.0
1970-01-01 00:03:20,162597.0,22359.0,22367.0,22354.0,22342.0,22276.0
1970-01-01 00:03:30,170260.0,23423.0,23436.0,23419.0,23408.0,23337.0
1970-01-01 00:03:40,177972.0,24489.0,24505.0,24485.0,24475.0,24396.0
1970-01-01 00:03:50,185668.0,25556.0,25571.0,25551.0,25541.0,25445.0
1970-01-01 00:04:00,193432.0,26622.0,26628.0,26604.0,26598.0,26504.0
1970-01-01 00:04:10,201229.0,27679.0,27694.0,27669.0,27667.0,27566.0
1970-01-01 00:04:20,209045.0,28745.0,28763.0,28731.0,28733.0,28625.0
1970-01-01 00:04:30,216856.0,29814.0,29832.0,29797.0,29802.0,29686.0
1970-01-01 00:04:40,224697.0,30881.0,30899.0,30861.0,30867.0,30748.0
1970-01-01 00:04:50,232493.0,31950.0,31965.0,31928.0,31933.0,31807.0
1970-01-01 00:05:00,240200.0,33017.0,33034.0,32992.0,32999.0,32868.0
1970-01-01 00:05:10,247971.0,34086.0,34101.0,34058.0,34068.0,33930.0
1970-01-01 00:05:20,255714.0,35157.0,35170.0,35122.0,35135.0,34991.0
1970-01-01 00:05:30,263512.0,36228.0,36239.0,36186.0,36204.0,36053.0
1970-01-01 00:05:40,271262.0,37297.0,37308.0,37250.0,37273.0,37114.0
1970-01-01 00:05:50,278982.0,38366.0,38374.0,38314.0,38339.0,38176.0
1970-01-01 00:06:00,286739.0,39435.0,39443.0,39381.0,39406.0,39237.0
1970-01-01 00:06:10,294495.0,40507.0,40512.0,40447.0,40474.0,40299.0
1970-01-01 00:06:20,302227.0,41573.0,41584.0,41514.0,41541.0,41350.0
1970-01-01 00:06:30,309989.0,42642.0,42640.0,42570.0,42598.0,42412.0
1970-01-01 00:06:40,317775.0,43709.0,43712.0,43639.0,43669.0,43473.0
1970-01-01 00:06:50,325499.0,44768.0,44778.0,44707.0,44736.0,44537.0
1970-01-01 00:07:00,333296.0,45837.0,45847.0,45775.0,45805.0,45601.0
1970-01-01 00:07:10,341086.0,46906.0,46916.0,46841.0,46871.0,46665.0
1970-01-01 00:07:20,348871.0,47975.0,47983.0,47910.0,47938.0,47729.0
1970-01-01 00:07:30,356624.0,49044.0,49049.0,48979.0,49004.0,48793.0
1970-01-01 00:07:40,364324.0,50113.0,50116.0,50046.0,50071.0,49857.0
