time,no-latency,10ms-latency-100ms,10ms-latency-200ms,10ms-latency-300ms,10ms-latency-400ms,10ms-latency-500ms
1970-01-01 00:00:00,1275.269,9433.78,9418.1,9453.57,9418.97,9448.692
1970-01-01 00:00:10,1282.907,9429.873,9425.351,9449.663,9428.805,9451.728
1970-01-01 00:00:20,1284.553,9432.119,9425.927,9440.678,9422.947,9452.977
1970-01-01 00:00:30,1284.876,9429.573,9417.967,9439.244,9418.488,9455.201
1970-01-01 00:00:40,1284.624,9429.487,9418.678,9434.595,9414.125,9455.949
1970-01-01 00:00:50,1285.409,9426.85,9416.986,9429.816,9415.342,9456.542
1970-01-01 00:01:00,1286.191,9426.72,9414.971,9422.652,9413.503,9454.708
1970-01-01 00:01:10,1285.615,9424.924,9410.428,9416.645,9411.134,9447.829
1970-01-01 00:01:20,1286.374,9418.583,9409.623,9414.511,9408.666,9443.252
1970-01-01 00:01:30,1286.132,9413.808,9406.585,9410.401,9405.609,9440.135
1970-01-01 00:01:40,1285.718,9408.805,9403.379,9408.629,9403.228,9438.99
1970-01-01 00:01:50,1286.184,9405.548,9401.379,9405.55,9401.85,9436.422
1970-01-01 00:02:00,1286.306,9402.167,9399.96,9404.562,9400.683,9435.281
1970-01-01 00:02:10,1286.539,9399.846,9397.77,9402.23,9400.082,9432.719
1970-01-01 00:02:20,1286.604,9397.817,9397.284,9399.754,9399.308,9431.34
1970-01-01 00:02:30,1286.894,9396.283,9395.548,9398.982,9399.17,9430.788
1970-01-01 00:02:40,1287.168,9394.101,9394.249,9398.503,9399.882,9429.603
1970-01-01 00:02:50,1288.756,9393.696,9393.721,9397.428,9399.602,9428.925
1970-01-01 00:03:00,1289.894,9393.235,9392.615,9396.983,9400.113,9428.249
1970-01-01 00:03:10,1290.762,9394.036,9391.884,9396.222,9399.848,9427.637
1970-01-01 00:03:20,1291.585,9393.708,9389.915,9395.665,9400.128,9427.707
1970-01-01 00:03:30,1292.219,9393.824,9388.408,9395.847,9399.854,9428.367
1970-01-01 00:03:40,1292.444,9393.35,9387.356,9394.708,9399.189,9429.182
1970-01-01 00:03:50,1292.76,9392.9,9387.137,9395.022,9398.25,9429.557
1970-01-01 00:04:00,1292.589,9392.488,9386.389,9395.548,9397.043,9429.943
1970-01-01 00:04:10,1291.732,9391.829,9386.166,9395.495,9396.103,9430.12
1970-01-01 00:04:20,1291.299,9391.445,9385.515,9395.746,9395.331,9430.534
1970-01-01 00:04:30,1290.921,9390.55,9384.589,9395.873,9394.373,9430.799
1970-01-01 00:04:40,1290.4,9389.685,9384.021,9396.17,9394.588,9430.485
1970-01-01 00:04:50,1290.164,9389.038,9383.964,9395.596,9394.045,9430.632
1970-01-01 00:05:00,1290.425,9388.885,9383.296,9395.525,9393.563,9430.667
1970-01-01 00:05:10,1290.338,9387.969,9383.026,9395.544,9392.738,9430.531
1970-01-01 00:05:20,1290.394,9386.215,9382.448,9395.498,9392.058,9430.757
1970-01-01 00:05:30,1290.178,9385.108,9381.952,9395.657,9391.256,9430.386
1970-01-01 00:05:40,1290.2,9384.34,9381.468,9396.155,9390.548,9430.253
1970-01-01 00:05:50,1290.363,9383.687,9381.423,9396.137,9390.361,9429.952
1970-01-01 00:06:00,1290.351,9382.811,9381.096,9395.899,9389.686,9429.916
1970-01-01 00:06:10,1290.344,9381.759,9380.096,9395.636,9389.619,9429.744
1970-01-01 00:06:20,1290.44,9381.612,9379.371,9395.109,9389.129,9429.524
1970-01-01 00:06:30,1290.404,9381.282,9379.05,9394.636,9388.845,9429.379
1970-01-01 00:06:40,1290.275,9381.011,9378.18,9393.983,9387.719,9429.402
1970-01-01 00:06:50,1290.089,9380.482,9378.208,9393.575,9387.297,9428.823
1970-01-01 00:07:00,1289.929,9380.016,9377.851,9392.832,9386.778,9428.332
1970-01-01 00:07:10,1289.8,9379.499,9377.607,9392.432,9386.627,9427.918
1970-01-01 00:07:20,1289.699,9379.092,9377.501,9391.919,9386.383,9427.263
1970-01-01 00:07:30,1289.716,9378.64,9377.7,9391.356,9386.291,9426.816
1970-01-01 00:07:40,1289.923,9378.047,9377.707,9390.994,9386.166,9426.466
