time,no-latency,10ms-latency-100ms,10ms-latency-200ms,10ms-latency-300ms,10ms-latency-400ms,10ms-latency-500ms
1970-01-01 00:00:00,80.009,9918.051,9876.369,9883.812,9933.716,9836.836
1970-01-01 00:00:10,110.281,9916.02,9874.691,9882.791,9933.521,9831.103
1970-01-01 00:00:20,101.242,9921.755,9873.509,9879.488,9932.934,9827.162
1970-01-01 00:00:30,96.724,9921.335,9873.416,9878.404,9932.342,9829.418
1970-01-01 00:00:40,93.288,9920.457,9873.636,9878.921,9931.378,9829.72
1970-01-01 00:00:50,96.366,9920.858,9873.841,9879.174,9931.411,9829.021
1970-01-01 00:01:00,95.921,9920.848,9873.219,9877.895,9930.059,9829.012
1970-01-01 00:01:10,93.987,9919.854,9873.104,9877.382,9928.697,9828.659
1970-01-01 00:01:20,93.15,9919.277,9872.986,9877.534,9928.298,9828.888
1970-01-01 00:01:30,92.033,9918.744,9872.535,9877.463,9927.877,9829.385
1970-01-01 00:01:40,90.969,9918.654,9872.673,9878.13,9927.599,9830.064
1970-01-01 00:01:50,90.31,9918.732,9872.234,9877.695,9927.451,9831.098
1970-01-01 00:02:00,89.611,9918.86,9871.819,9878.67,9927.283,9831.029
1970-01-01 00:02:10,89.178,9918.512,9872.005,9878.484,9926.9,9831.314
1970-01-01 00:02:20,89.484,9918.278,9872.281,9878.073,9926.729,9830.922
1970-01-01 00:02:30,88.992,9918.457,9872.046,9877.967,9926.48,9831.014
1970-01-01 00:02:40,88.629,9918.398,9872.381,9878.259,9926.127,9830.698
1970-01-01 00:02:50,88.977,9918.566,9872.723,9878.209,9925.7,9830.415
1970-01-01 00:03:00,88.81,9918.448,9872.665,9877.904,9925.323,9830.143
1970-01-01 00:03:10,88.626,9918.879,9873.17,9878.377,9925.298,9830.01
1970-01-01 00:03:20,88.378,9918.746,9872.825,9877.954,9924.957,9829.671
1970-01-01 00:03:30,88.283,9918.464,9872.648,9877.918,9924.848,9829.783
1970-01-01 00:03:40,88.363,9918.484,9872.501,9877.675,9925.5,9829.877
1970-01-01 00:03:50,88.417,9918.531,9872.856,9877.598,9925.257,9829.984
1970-01-01 00:04:00,88.157,9918.625,9872.803,9877.818,9924.754,9830.093
1970-01-01 00:04:10,90.483,9918.712,9872.847,9877.715,9924.617,9830.324
1970-01-01 00:04:20,90.3,9918.826,9872.861,9877.817,9924.657,9830.617
1970-01-01 00:04:30,89.99,9919.022,9872.69,9878.041,9924.582,9831.301
1970-01-01 00:04:40,89.748,9919.095,9872.823,9878.284,9924.387,9831.41
1970-01-01 00:04:50,89.474,9919.004,9872.658,9878.343,9924.499,9831.701
1970-01-01 00:05:00,89.16,9919.312,9872.426,9878.455,9924.334,9831.914
1970-01-01 00:05:10,88.869,9919.364,9872.347,9878.62,9924.188,9831.923
1970-01-01 00:05:20,88.627,9919.233,9872.088,9878.705,9924.046,9832.14
1970-01-01 00:05:30,88.344,9919.464,9871.95,9878.735,9924.041,9832.276
1970-01-01 00:05:40,89.173,9919.411,9871.889,9878.907,9923.854,9832.419
1970-01-01 00:05:50,88.992,9919.38,9871.784,9878.904,9923.898,9832.52
1970-01-01 00:06:00,88.79,9919.222,9871.672,9879.037,9923.815,9832.589
1970-01-01 00:06:10,88.679,9919.027,9871.481,9879.199,9923.875,9832.476
1970-01-01 00:06:20,88.531,9918.906,9871.398,9879.161,9923.803,9832.435
1970-01-01 00:06:30,88.532,9918.752,9871.459,9879.076,9923.687,9832.333
1970-01-01 00:06:40,88.392,9919.073,9871.214,9878.993,9923.504,9832.458
1970-01-01 00:06:50,88.773,9919.032,9871.149,9878.824,9923.499,9832.528
1970-01-01 00:07:00,88.646,9919.082,9871.181,9878.661,9923.437,9832.606
1970-01-01 00:07:10,88.507,9918.915,9871.144,9878.638,9923.416,9832.711
1970-01-01 00:07:20,88.278,9918.799,9871.167,9878.623,9923.346,9832.799
1970-01-01 00:07:30,88.162,9918.658,9871.155,9878.525,9923.222,9832.778
1970-01-01 00:07:40,88.174,9918.595,9871.08,9878.483,9923.209,9832.781
