time,no-latency,10ms-latency-100ms,10ms-latency-200ms,10ms-latency-300ms,10ms-latency-400ms,10ms-latency-500ms
1970-01-01 00:00:00,783.93,106.036,106.136,105.826,106.126,105.826
1970-01-01 00:00:10,774.635,106.136,106.026,105.836,106.036,105.737
1970-01-01 00:00:20,776.357,106.026,106.136,106.126,106.326,105.626
1970-01-01 00:00:30,777.633,106.136,106.326,106.026,106.126,105.737
1970-01-01 00:00:40,779.033,106.026,106.026,106.126,106.525,105.626
1970-01-01 00:00:50,775.457,106.136,106.336,106.436,106.226,105.836
1970-01-01 00:01:00,774.535,106.026,106.326,106.426,106.236,105.926
1970-01-01 00:01:10,780.154,106.436,106.636,106.836,106.326,106.236
1970-01-01 00:01:20,773.636,106.736,106.49,106.188,106.602,106.389
1970-01-01 00:01:30,778.821,106.703,106.436,106.836,106.625,106.136
1970-01-01 00:01:40,780.154,106.825,106.825,106.525,106.536,106.226
1970-01-01 00:01:50,774.435,106.525,106.636,106.625,106.625,106.126
1970-01-01 00:02:00,776.434,106.836,106.525,106.536,106.536,106.126
1970-01-01 00:02:10,775.435,106.836,106.636,106.625,106.326,106.336
1970-01-01 00:02:20,776.634,106.636,106.636,106.836,106.625,106.326
1970-01-01 00:02:30,774.258,106.836,106.525,106.326,106.326,106.226
1970-01-01 00:02:40,774.235,106.836,106.836,106.536,106.336,106.136
1970-01-01 00:02:50,759.644,106.326,106.525,106.625,106.326,106.126
1970-01-01 00:03:00,762.842,106.536,106.625,106.525,106.326,106.326
1970-01-01 00:03:10,764.765,106.336,106.536,106.636,106.525,106.036
1970-01-01 00:03:20,764.241,106.636,107.136,106.536,106.136,106.126
1970-01-01 00:03:30,765.84,106.326,106.825,106.426,106.525,105.936
1970-01-01 00:03:40,770.738,106.536,106.725,106.525,106.636,105.926
1970-01-01 00:03:50,768.962,106.636,106.636,106.536,106.536,105.895
1970-01-01 00:04:00,776.034,106.536,106.692,106.198,106.703,105.836
1970-01-01 00:04:10,786.998,106.703,106.536,106.525,106.825,106.136
1970-01-01 00:04:20,781.053,106.536,106.836,106.136,106.536,105.826
1970-01-01 00:04:30,780.732,106.836,106.825,106.525,106.836,106.036
1970-01-01 00:04:40,783.63,106.625,106.636,106.326,106.436,106.026
1970-01-01 00:04:50,779.055,106.836,106.525,106.636,106.525,105.936
1970-01-01 00:05:00,770.238,106.636,106.836,106.326,106.525,106.026
1970-01-01 00:05:10,776.456,106.825,106.625,106.525,106.836,106.126
1970-01-01 00:05:20,773.936,107.036,106.825,106.326,106.625,106.036
1970-01-01 00:05:30,779.255,107.036,106.836,106.336,106.836,106.126
1970-01-01 00:05:40,774.535,106.825,106.825,106.336,106.836,106.026
1970-01-01 00:05:50,771.537,106.836,106.536,106.326,106.525,106.126
1970-01-01 00:06:00,775.157,106.825,106.825,106.625,106.636,106.026
1970-01-01 00:06:10,775.057,107.136,106.825,106.536,106.725,106.126
1970-01-01 00:06:20,772.636,106.536,107.125,106.625,106.636,106.087
1970-01-01 00:06:30,775.757,106.825,106.602,106.602,106.703,106.136
1970-01-01 00:06:40,778.133,106.647,107.125,106.825,107.025,106.026
1970-01-01 00:06:50,779.729,106.905,106.536,106.736,106.636,106.326
1970-01-01 00:07:00,779.155,106.836,106.836,106.725,106.836,106.326
1970-01-01 00:07:10,778.533,106.825,106.825,106.525,106.525,106.326
1970-01-01 00:07:20,778.033,106.836,106.625,106.836,106.625,106.326
1970-01-01 00:07:30,774.758,106.836,106.525,106.825,106.536,106.326
1970-01-01 00:07:40,769.538,106.836,106.625,106.625,106.625,106.336
