time,27-11-2023_16-33-32,27-11-2023_16-21-50
1970-01-01 00:00:00,96.064,95.498
1970-01-01 00:00:01,96.062,95.754
1970-01-01 00:00:02,96.001,95.431
1970-01-01 00:00:03,96.15,95.751
1970-01-01 00:00:04,95.85,95.693
1970-01-01 00:00:05,95.873,95.555
1970-01-01 00:00:06,96.187,95.945
1970-01-01 00:00:07,96.001,95.995
1970-01-01 00:00:08,96.126,95.939
1970-01-01 00:00:09,95.998,95.747
1970-01-01 00:00:10,96.252,95.875
1970-01-01 00:00:11,96.249,95.626
1970-01-01 00:00:12,96.063,95.937
1970-01-01 00:00:13,96.087,95.938
1970-01-01 00:00:14,95.913,95.5
1970-01-01 00:00:15,96.09,95.688
1970-01-01 00:00:16,96.032,95.813
1970-01-01 00:00:17,96.315,95.813
1970-01-01 00:00:18,95.999,95.938
1970-01-01 00:00:19,96.061,95.754
1970-01-01 00:00:20,95.997,95.501
1970-01-01 00:00:21,96.187,95.5
1970-01-01 00:00:22,96.502,95.686
1970-01-01 00:00:23,95.873,95.689
1970-01-01 00:00:24,96.44,95.999
1970-01-01 00:00:25,96.191,95.563
1970-01-01 00:00:26,96.188,95.868
1970-01-01 00:00:27,96.187,95.756
1970-01-01 00:00:28,96.208,95.688
1970-01-01 00:00:29,96.104,95.624
1970-01-01 00:00:30,96.125,95.563
1970-01-01 00:00:31,96.245,95.686
1970-01-01 00:00:32,95.568,95.813
1970-01-01 00:00:33,95.935,95.812
1970-01-01 00:00:34,95.75,96.127
1970-01-01 00:00:35,96.125,94.749
1970-01-01 00:00:36,96.245,95.626
1970-01-01 00:00:37,96.005,95.687
1970-01-01 00:00:38,96.183,95.752
1970-01-01 00:00:39,96.13,95.561
1970-01-01 00:00:40,96.027,95.751
1970-01-01 00:00:41,95.874,95.562
1970-01-01 00:00:42,96.16,95.939
1970-01-01 00:00:43,96.188,95.812
1970-01-01 00:00:44,95.997,95.686
1970-01-01 00:00:45,96.153,95.562
1970-01-01 00:00:46,95.937,95.688
1970-01-01 00:00:47,96.126,95.683
1970-01-01 00:00:48,96.189,95.755
1970-01-01 00:00:49,95.871,95.186
1970-01-01 00:00:50,95.972,95.501
1970-01-01 00:00:51,96.129,95.747
1970-01-01 00:00:52,96.213,95.753
1970-01-01 00:00:53,95.875,95.685
1970-01-01 00:00:54,96.126,95.501
1970-01-01 00:00:55,96.188,95.496
1970-01-01 00:00:56,95.967,95.814
1970-01-01 00:00:57,96.188,95.684
1970-01-01 00:00:58,96.067,95.814
1970-01-01 00:00:59,95.962,95.75
1970-01-01 00:01:00,95.976,95.627
1970-01-01 00:01:01,95.999,95.685
1970-01-01 00:01:02,96.09,95.752
1970-01-01 00:01:03,96.035,96.062
1970-01-01 00:01:04,96.25,95.689
1970-01-01 00:01:05,95.936,95.816
1970-01-01 00:01:06,96.374,95.877
1970-01-01 00:01:07,96.064,95.618
1970-01-01 00:01:08,95.938,95.755
1970-01-01 00:01:09,95.995,95.62
1970-01-01 00:01:10,96.194,95.691
1970-01-01 00:01:11,95.873,95.624
1970-01-01 00:01:12,96.124,95.75
1970-01-01 00:01:13,96.063,95.812
1970-01-01 00:01:14,96.188,95.312
1970-01-01 00:01:15,96.124,95.748
1970-01-01 00:01:16,95.941,95.627
1970-01-01 00:01:17,95.997,95.748
1970-01-01 00:01:18,96.126,95.814
1970-01-01 00:01:19,95.902,95.811
1970-01-01 00:01:20,96.0,95.563
1970-01-01 00:01:21,95.999,96.001
1970-01-01 00:01:22,95.997,95.813
1970-01-01 00:01:23,96.001,95.876
1970-01-01 00:01:24,96.002,95.811
1970-01-01 00:01:25,95.973,95.815
1970-01-01 00:01:26,95.939,95.438
1970-01-01 00:01:27,96.0,95.931
1970-01-01 00:01:28,96.027,95.442
1970-01-01 00:01:29,96.157,95.995
1970-01-01 00:01:30,96.129,95.815
1970-01-01 00:01:31,95.684,95.873
1970-01-01 00:01:32,96.001,95.875
1970-01-01 00:01:33,96.313,95.752
1970-01-01 00:01:34,95.746,95.873
1970-01-01 00:01:35,96.063,95.501
1970-01-01 00:01:36,96.061,95.997
1970-01-01 00:01:37,95.876,96.004
1970-01-01 00:01:38,96.003,95.933
1970-01-01 00:01:39,94.93,95.818
1970-01-01 00:01:40,96.375,94.442
1970-01-01 00:01:41,96.191,95.933
1970-01-01 00:01:42,95.874,96.063
1970-01-01 00:01:43,96.186,95.75
1970-01-01 00:01:44,96.067,95.687
1970-01-01 00:01:45,96.0,95.439
1970-01-01 00:01:46,96.127,95.752
1970-01-01 00:01:47,96.124,95.934
1970-01-01 00:01:48,96.188,96.062
1970-01-01 00:01:49,95.93,95.691
1970-01-01 00:01:50,96.317,95.688
1970-01-01 00:01:51,96.087,96.054
1970-01-01 00:01:52,96.346,95.945
1970-01-01 00:01:53,96.096,95.742
1970-01-01 00:01:54,95.938,95.688
1970-01-01 00:01:55,96.124,95.566
1970-01-01 00:01:56,96.248,95.811
1970-01-01 00:01:57,96.126,95.813
1970-01-01 00:01:58,96.188,95.684
1970-01-01 00:01:59,96.188,95.757
1970-01-01 00:02:00,95.994,95.567
1970-01-01 00:02:01,96.066,95.936
1970-01-01 00:02:02,96.065,95.748
1970-01-01 00:02:03,95.909,95.502
1970-01-01 00:02:04,96.028,95.562
1970-01-01 00:02:05,96.0,95.503
1970-01-01 00:02:06,96.186,95.941
1970-01-01 00:02:07,96.064,96.055
1970-01-01 00:02:08,96.12,96.0
1970-01-01 00:02:09,95.905,95.624
1970-01-01 00:02:10,96.152,95.817
1970-01-01 00:02:11,95.978,95.934
1970-01-01 00:02:12,96.185,95.688
1970-01-01 00:02:13,95.939,95.877
1970-01-01 00:02:14,96.003,95.622
1970-01-01 00:02:15,95.936,95.691
1970-01-01 00:02:16,96.15,95.558
1970-01-01 00:02:17,96.092,95.688
1970-01-01 00:02:18,96.069,95.807
1970-01-01 00:02:19,95.693,95.622
1970-01-01 00:02:20,96.249,95.696
1970-01-01 00:02:21,96.124,95.752
1970-01-01 00:02:22,96.188,95.939
1970-01-01 00:02:23,95.999,95.874
1970-01-01 00:02:24,96.189,95.874
1970-01-01 00:02:25,96.187,95.745
1970-01-01 00:02:26,96.026,95.877
1970-01-01 00:02:27,96.224,95.753
1970-01-01 00:02:28,96.187,95.562
1970-01-01 00:02:29,96.124,95.809
1970-01-01 00:02:30,95.875,95.566
1970-01-01 00:02:31,96.376,95.495
1970-01-01 00:02:32,95.874,95.44
1970-01-01 00:02:33,96.187,95.816
