time,27-11-2023_16-33-32,27-11-2023_16-21-50
1970-01-01 00:00:00,1.375,2.187
1970-01-01 00:00:01,1.875,1.813
1970-01-01 00:00:02,2.0,2.125
1970-01-01 00:00:03,1.688,1.938
1970-01-01 00:00:04,2.499,2.313
1970-01-01 00:00:05,2.062,2.125
1970-01-01 00:00:06,1.687,2.063
1970-01-01 00:00:07,1.5,2.125
1970-01-01 00:00:08,1.563,1.688
1970-01-01 00:00:09,1.687,1.812
1970-01-01 00:00:10,1.5,1.75
1970-01-01 00:00:11,1.75,1.563
1970-01-01 00:00:12,1.563,1.687
1970-01-01 00:00:13,1.125,2.0
1970-01-01 00:00:14,1.437,1.75
1970-01-01 00:00:15,1.938,1.688
1970-01-01 00:00:16,1.999,1.938
1970-01-01 00:00:17,1.5,1.938
1970-01-01 00:00:18,1.687,1.688
1970-01-01 00:00:19,1.75,2.0
1970-01-01 00:00:20,1.75,2.688
1970-01-01 00:00:21,2.0,2.187
1970-01-01 00:00:22,1.938,1.812
1970-01-01 00:00:23,1.875,2.188
1970-01-01 00:00:24,1.875,1.937
1970-01-01 00:00:25,1.563,2.063
1970-01-01 00:00:26,1.688,2.5
1970-01-01 00:00:27,1.437,1.813
1970-01-01 00:00:28,1.625,2.063
1970-01-01 00:00:29,1.812,3.0
1970-01-01 00:00:30,1.5,2.375
1970-01-01 00:00:31,1.687,2.187
1970-01-01 00:00:32,1.813,2.0
1970-01-01 00:00:33,1.5,2.0
1970-01-01 00:00:34,1.875,1.625
1970-01-01 00:00:35,2.25,2.75
1970-01-01 00:00:36,2.125,2.5
1970-01-01 00:00:37,1.375,2.187
1970-01-01 00:00:38,1.625,1.813
1970-01-01 00:00:39,1.625,2.187
1970-01-01 00:00:40,1.563,2.375
1970-01-01 00:00:41,1.75,2.0
1970-01-01 00:00:42,1.375,1.938
1970-01-01 00:00:43,1.813,2.312
1970-01-01 00:00:44,1.562,1.75
1970-01-01 00:00:45,1.688,2.0
1970-01-01 00:00:46,1.562,1.75
1970-01-01 00:00:47,1.375,2.625
1970-01-01 00:00:48,1.625,1.563
1970-01-01 00:00:49,1.187,1.812
1970-01-01 00:00:50,1.125,1.938
1970-01-01 00:00:51,2.0,1.625
1970-01-01 00:00:52,1.313,2.125
1970-01-01 00:00:53,2.188,1.937
1970-01-01 00:00:54,1.938,2.313
1970-01-01 00:00:55,1.438,1.687
1970-01-01 00:00:56,2.124,1.625
1970-01-01 00:00:57,2.125,1.687
1970-01-01 00:00:58,1.75,1.75
1970-01-01 00:00:59,1.813,2.375
1970-01-01 00:01:00,1.625,2.0
1970-01-01 00:01:01,1.687,2.062
1970-01-01 00:01:02,1.438,1.813
1970-01-01 00:01:03,1.125,2.0
1970-01-01 00:01:04,2.0,1.938
1970-01-01 00:01:05,1.25,1.875
1970-01-01 00:01:06,1.687,2.0
1970-01-01 00:01:07,1.625,2.312
1970-01-01 00:01:08,1.5,1.75
1970-01-01 00:01:09,1.937,1.937
1970-01-01 00:01:10,2.438,1.75
1970-01-01 00:01:11,1.812,2.25
1970-01-01 00:01:12,2.75,1.5
1970-01-01 00:01:13,1.875,2.125
1970-01-01 00:01:14,1.875,2.062
1970-01-01 00:01:15,1.812,2.062
1970-01-01 00:01:16,1.5,1.875
1970-01-01 00:01:17,2.062,1.687
1970-01-01 00:01:18,1.75,2.313
1970-01-01 00:01:19,2.251,1.875
1970-01-01 00:01:20,1.625,1.625
1970-01-01 00:01:21,1.5,1.938
1970-01-01 00:01:22,1.75,1.438
1970-01-01 00:01:23,1.625,1.5
1970-01-01 00:01:24,1.688,1.437
1970-01-01 00:01:25,1.874,1.75
1970-01-01 00:01:26,2.063,1.688
1970-01-01 00:01:27,1.875,1.812
1970-01-01 00:01:28,1.688,2.0
1970-01-01 00:01:29,1.937,1.312
1970-01-01 00:01:30,1.625,1.875
1970-01-01 00:01:31,2.437,1.75
1970-01-01 00:01:32,1.625,1.688
1970-01-01 00:01:33,1.75,1.75
1970-01-01 00:01:34,1.812,1.75
1970-01-01 00:01:35,0.938,1.938
1970-01-01 00:01:36,1.562,1.687
1970-01-01 00:01:37,1.5,1.875
1970-01-01 00:01:38,1.813,1.437
1970-01-01 00:01:39,2.75,1.5
1970-01-01 00:01:40,1.625,3.438
1970-01-01 00:01:41,1.688,1.5
1970-01-01 00:01:42,1.562,1.75
1970-01-01 00:01:43,1.187,2.437
1970-01-01 00:01:44,1.875,1.937
1970-01-01 00:01:45,1.75,2.375
1970-01-01 00:01:46,1.313,2.375
1970-01-01 00:01:47,1.5,2.062
1970-01-01 00:01:48,1.563,2.187
1970-01-01 00:01:49,1.812,2.375
1970-01-01 00:01:50,1.75,2.375
1970-01-01 00:01:51,2.313,2.062
1970-01-01 00:01:52,1.874,2.25
1970-01-01 00:01:53,1.688,1.875
1970-01-01 00:01:54,1.688,2.625
1970-01-01 00:01:55,1.5,1.813
1970-01-01 00:01:56,2.062,1.812
1970-01-01 00:01:57,1.063,2.125
1970-01-01 00:01:58,1.25,2.062
1970-01-01 00:01:59,1.5,2.125
1970-01-01 00:02:00,2.062,1.875
1970-01-01 00:02:01,1.75,2.062
1970-01-01 00:02:02,1.5,1.812
1970-01-01 00:02:03,1.25,2.063
1970-01-01 00:02:04,1.438,1.75
1970-01-01 00:02:05,1.438,2.438
1970-01-01 00:02:06,1.687,1.938
1970-01-01 00:02:07,1.938,1.937
1970-01-01 00:02:08,1.75,2.125
1970-01-01 00:02:09,1.937,1.687
1970-01-01 00:02:10,1.375,2.063
1970-01-01 00:02:11,1.75,2.375
1970-01-01 00:02:12,1.687,2.563
1970-01-01 00:02:13,1.625,2.375
1970-01-01 00:02:14,2.25,1.937
1970-01-01 00:02:15,1.937,2.563
1970-01-01 00:02:16,1.813,1.75
1970-01-01 00:02:17,1.874,1.875
1970-01-01 00:02:18,2.5,2.062
1970-01-01 00:02:19,2.5,2.625
1970-01-01 00:02:20,1.937,2.5
1970-01-01 00:02:21,2.125,2.063
1970-01-01 00:02:22,2.25,2.063
1970-01-01 00:02:23,2.5,1.937
1970-01-01 00:02:24,1.438,1.812
1970-01-01 00:02:25,1.5,1.812
1970-01-01 00:02:26,1.625,2.563
1970-01-01 00:02:27,1.999,2.063
1970-01-01 00:02:28,2.062,1.812
1970-01-01 00:02:29,1.937,2.0
1970-01-01 00:02:30,1.438,2.125
1970-01-01 00:02:31,1.688,2.5
1970-01-01 00:02:32,2.187,2.5
1970-01-01 00:02:33,2.187,2.125
1970-01-01 00:02:34,1.625,1.75
1970-01-01 00:02:35,1.751,1.937
1970-01-01 00:02:36,1.75,2.438
1970-01-01 00:02:37,2.0,2.375
1970-01-01 00:02:38,1.375,2.375
1970-01-01 00:02:39,1.375,2.25
1970-01-01 00:02:40,1.813,1.875
1970-01-01 00:02:41,1.687,2.125
1970-01-01 00:02:42,1.562,1.937
1970-01-01 00:02:43,1.875,2.125
1970-01-01 00:02:44,2.187,1.625
1970-01-01 00:02:45,1.813,1.937
1970-01-01 00:02:46,1.938,2.5
1970-01-01 00:02:47,1.812,2.062
1970-01-01 00:02:48,2.25,2.375
1970-01-01 00:02:49,2.187,1.563
1970-01-01 00:02:50,1.876,2.437
1970-01-01 00:02:51,2.0,2.063
1970-01-01 00:02:52,1.813,2.0
1970-01-01 00:02:53,1.812,2.25
1970-01-01 00:02:54,1.875,2.812
1970-01-01 00:02:55,1.5,2.438
1970-01-01 00:02:56,1.5,2.75
1970-01-01 00:02:57,1.0,2.313
1970-01-01 00:02:58,1.812,1.5
1970-01-01 00:02:59,1.75,1.75
