time,27-11-2023_16-33-32,27-11-2023_16-21-50
1970-01-01 00:00:00,3.002,1.688
1970-01-01 00:00:01,2.437,1.812
1970-01-01 00:00:02,2.562,1.313
1970-01-01 00:00:03,2.563,1.437
1970-01-01 00:00:04,2.938,1.313
1970-01-01 00:00:05,2.373,1.625
1970-01-01 00:00:06,2.375,1.25
1970-01-01 00:00:07,3.19,1.0
1970-01-01 00:00:08,3.248,1.063
1970-01-01 00:00:09,2.937,1.5
1970-01-01 00:00:10,3.0,1.25
1970-01-01 00:00:11,2.314,1.125
1970-01-01 00:00:12,2.437,1.438
1970-01-01 00:00:13,2.686,1.312
1970-01-01 00:00:14,2.625,1.5
1970-01-01 00:00:15,2.376,1.188
1970-01-01 00:00:16,1.937,1.812
1970-01-01 00:00:17,2.75,1.625
1970-01-01 00:00:18,2.561,1.25
1970-01-01 00:00:19,2.875,1.312
1970-01-01 00:00:20,2.627,1.563
1970-01-01 00:00:21,2.812,1.25
1970-01-01 00:00:22,2.936,1.625
1970-01-01 00:00:23,2.813,1.125
1970-01-01 00:00:24,2.627,1.688
1970-01-01 00:00:25,2.688,1.625
1970-01-01 00:00:26,2.75,1.438
1970-01-01 00:00:27,2.936,1.062
1970-01-01 00:00:28,2.252,1.563
1970-01-01 00:00:29,2.687,1.687
1970-01-01 00:00:30,2.813,1.5
1970-01-01 00:00:31,2.625,1.437
1970-01-01 00:00:32,2.811,1.375
1970-01-01 00:00:33,2.502,1.063
1970-01-01 00:00:34,2.812,1.438
1970-01-01 00:00:35,2.312,1.0
1970-01-01 00:00:36,1.813,1.437
1970-01-01 00:00:37,1.874,1.563
1970-01-01 00:00:38,2.314,1.688
1970-01-01 00:00:39,2.187,1.437
1970-01-01 00:00:40,2.375,1.25
1970-01-01 00:00:41,1.874,1.562
1970-01-01 00:00:42,2.439,1.625
1970-01-01 00:00:43,1.563,1.875
1970-01-01 00:00:44,2.186,1.75
1970-01-01 00:00:45,1.813,1.438
1970-01-01 00:00:46,2.5,1.562
1970-01-01 00:00:47,2.125,1.25
1970-01-01 00:00:48,2.314,1.625
1970-01-01 00:00:49,2.186,1.125
1970-01-01 00:00:50,2.0,1.625
1970-01-01 00:00:51,2.25,1.312
